original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL
Take a picture of building 2;<>(building_2&&photo);F(building_2 & photo);['photo', 'building_2'];Take a picture of building_2;{'photo': 'photo', 'building 2': 'building_2'};{'photo': 'ap_0', 'building_2': 'ap_1'};F(ap_1 & ap_0)
Take bottle 3 from store 1 and put it in hospital 2;<>(shop_1&&<>(p_bottle_3&&<>(hospital_2&&pd)));F(shop_1 & F(p_bottle_3 & F(hospital_2 & pd)));['pd', 'p_bottle_3', 'shop_1', 'hospital_2'];Take p_bottle_3 from store 1 and put it in hospital_2;{'pd': 'pd', 'bottle 3': 'p_bottle_3', 'shop 1': 'shop_1', 'hospital 2': 'hospital_2'};{'pd': 'ap_0', 'p_bottle_3': 'ap_1', 'shop_1': 'ap_2', 'hospital_2': 'ap_3'};F(ap_2 & F(ap_1 & F(ap_3 & ap_0)))
Go to parking lot 2 and pick up dish 2;<>(parking_lot_2&&p_dish_2);F(p_dish_2 & parking_lot_2);['p_dish_2', 'parking_lot_2'];Go to parking_lot_2 and pick up p_dish_2;{'dish 2': 'p_dish_2', 'parking lot 2': 'parking_lot_2'};{'p_dish_2': 'ap_0', 'parking_lot_2': 'ap_1'};F(ap_0 & ap_1)
Go to hospital 3 and pick up water bottle 4 while never entering pharmacy 2;<>(hospital_3&&p_bottle_4)&&[]!pharmacy_2;F(hospital_3 & p_bottle_4) & G!pharmacy_2;['p_bottle_4', 'hospital_3', 'pharmacy_2'];Go to hospital_3 and pick up water p_bottle_4 while never entering pharmacy_2;{'bottle 4': 'p_bottle_4', 'hospital 3': 'hospital_3', 'pharmacy 2': 'pharmacy_2'};{'p_bottle_4': 'ap_0', 'hospital_3': 'ap_1', 'pharmacy_2': 'ap_2'};F(ap_1 & ap_0) & G!ap_2
Stay in parking lot 4 until you reach car 5;parking_lot_4 U car_5;parking_lot_4 U car_5;['parking_lot_4', 'car_5'];Stay in parking_lot_4 until you reach car_5;{'parking lot 4': 'parking_lot_4', 'car 5': 'car_5'};{'parking_lot_4': 'ap_0', 'car_5': 'ap_1'};ap_0 U ap_1
Do not enter street 5 until you reach store 1 as you pick up package 4 from store 1;!street_5 U store_1&&<>(store_1&&p_package_4);(!street_5 U store_1) & F(p_package_4 & store_1);['p_package_4', 'street_5', 'store_1'];Do not enter street_5 until you reach store_1 as you pick up p_package_4 from store_1;{'package 4': 'p_package_4', 'street 5': 'street_5', 'store 1': 'store_1'};{'p_package_4': 'ap_0', 'street_5': 'ap_1', 'store_1': 'ap_2'};(!ap_1 U ap_2) & F(ap_0 & ap_2)
Put down anything you hold and go to parking lot 2;<>(pd&&<>parking_lot_2);F(pd & Fparking_lot_2);['pd', 'parking_lot_2'];Put down anything you hold and go to parking_lot_2;{'pd': 'pd', 'parking lot 2': 'parking_lot_2'};{'pd': 'ap_0', 'parking_lot_2': 'ap_1'};F(ap_0 & Fap_1)
Pick up bottle 3 from kitchen 2 but do not enter living room 1;<>(kitchen_2&&p_bottle_3)&&[]!living_room_1;F(kitchen_2 & p_bottle_3) & G!living_room_1;['p_bottle_3', 'kitchen_2', 'living_room_1'];Pick up p_bottle_3 from kitchen_2 but do not enter living_room_1;{'bottle 3': 'p_bottle_3', 'kitchen 2': 'kitchen_2', 'living room 1': 'living_room_1'};{'p_bottle_3': 'ap_0', 'kitchen_2': 'ap_1', 'living_room_1': 'ap_2'};F(ap_1 & ap_0) & G!ap_2
Go to parking lot 5 and stay there;<>[]parking_lot_5;FGparking_lot_5;['parking_lot_5'];Go to parking_lot_5 and stay there;{'parking lot 5': 'parking_lot_5'};{'parking_lot_5': 'ap_0'};FGap_0
Keep visiting charging station 5 and keep taking package 5 from warehouse 1 to store 5;[]<>charging_station_5&&[]<>(warehouse_1&&<>(p_package_5&&<>(store_5&&pd)));GFcharging_station_5 & GF(warehouse_1 & F(p_package_5 & F(pd & store_5)));['pd', 'p_package_5', 'store_5', 'charging_station_5', 'warehouse_1'];Keep visiting charging_station_5 and keep taking p_package_5 from warehouse_1 to store_5;{'pd': 'pd', 'package 5': 'p_package_5', 'store 5': 'store_5', 'charging station 5': 'charging_station_5', 'warehouse 1': 'warehouse_1'};{'pd': 'ap_0', 'p_package_5': 'ap_1', 'store_5': 'ap_2', 'charging_station_5': 'ap_3', 'warehouse_1': 'ap_4'};GFap_3 & GF(ap_4 & F(ap_1 & F(ap_0 & ap_2)))
While never entering park 3, Pick up cone 2 from police station 1 and place it in intersection 2.;[]!park_3&&<>(police_station_1&&p_cone_2&&<>(intersection_2&&pd));G!park_3 & F(p_cone_2 & police_station_1 & F(intersection_2 & pd));['pd', 'park_3', 'p_cone_2', 'police_station_1', 'intersection_2'];While never entering park_3, Pick up p_cone_2 from police_station_1 and place it in intersection_2.;{'pd': 'pd', 'park 3': 'park_3', 'cone 2': 'p_cone_2', 'police station 1': 'police_station_1', 'intersection 2': 'intersection_2'};{'pd': 'ap_0', 'park_3': 'ap_1', 'p_cone_2': 'ap_2', 'police_station_1': 'ap_3', 'intersection_2': 'ap_4'};G!ap_1 & F(ap_2 & ap_3 & F(ap_4 & ap_0))
