NL;LTL;APs
finally, the train derails and together the table has been moved and the train has been launched;F(table_has_been_moved & train_derails & train_has_been_launched);['train_derails', 'table_has_been_moved', 'train_has_been_launched']
at a certain moment a house is built, the elevator rises and a motorbike catches fire;F(elevator_rises & house_is_built & motorbike_catches_fire);['house_is_built', 'motorbike_catches_fire', 'elevator_rises']
eventually, the escalator moves and together the bar is down and a bridge closes;F(bar_is_down & bridge_closes & escalator_moves);['escalator_moves', 'bridge_closes', 'bar_is_down']
at a certain moment the engine starts, a train derails and the escalator speeds up;F(engine_starts & escalator_speeds_up & train_derails);['escalator_speeds_up', 'train_derails', 'engine_starts']
at a certain moment the sensor gathers information and, at the same time, the house is built and a train has been launched;F(house_is_built & sensor_gathers_information & train_has_been_launched);['house_is_built', 'train_has_been_launched', 'sensor_gathers_information']
at some point a table is brown, the motorbike has started and the bar has to be repaired;F(bar_has_to_be_repaired & motorbike_has_started & table_is_brown);['table_is_brown', 'bar_has_to_be_repaired', 'motorbike_has_started']
in the future a train has been launched and together a train has arrived and the table is brown;F(table_is_brown & train_has_arrived & train_has_been_launched);['table_is_brown', 'train_has_been_launched', 'train_has_arrived']
at some point a semaphore is broken and, at the same time, a house collapses and a sensor retrieves data;F(house_collapses & semaphore_is_broken & sensor_retrieves_data);['house_collapses', 'sensor_retrieves_data', 'semaphore_is_broken']
eventually, a semaphore is green and, at the same time, an elevator is blocked and the brake is released;F(brake_is_released & elevator_is_blocked & semaphore_is_green);['brake_is_released', 'elevator_is_blocked', 'semaphore_is_green']
at some point in time the escalator is blocked, the escalator moves and the semaphore is green;F(escalator_is_blocked & escalator_moves & semaphore_is_green);['escalator_moves', 'semaphore_is_green', 'escalator_is_blocked']
sooner or later a bridge closes and, at the same time, the bar has to be repaired and the car starts;F(bar_has_to_be_repaired & bridge_closes & car_starts);['car_starts', 'bar_has_to_be_repaired', 'bridge_closes']
it is going to happen that the bar is up and together the table has been moved and the motorbike catches fire;F(bar_is_up & motorbike_catches_fire & table_has_been_moved);['bar_is_up', 'table_has_been_moved', 'motorbike_catches_fire']
eventually, the bar is up and a constructor instantiate objects;F(bar_is_up & constructor_instantiate_objects);['bar_is_up', 'constructor_instantiate_objects']
it is going to happen that the bar is down and a house is open;F(bar_is_down & house_is_open);['house_is_open', 'bar_is_down']
at some point both a motorbike has started and the brake is pressed;F(brake_is_pressed & motorbike_has_started);['brake_is_pressed', 'motorbike_has_started']
in the future both the escalator is blocked and the train derails;F(escalator_is_blocked & train_derails);['train_derails', 'escalator_is_blocked']
at some point a motorbike has stopped and the table is brown;F(motorbike_has_stopped & table_is_brown);['table_is_brown', 'motorbike_has_stopped']
it is going to happen that both the escalator is blocked and the constructor instantiate objects;F(constructor_instantiate_objects & escalator_is_blocked);['constructor_instantiate_objects', 'escalator_is_blocked']
it is going to happen that both a semaphore is yellow and a table has been moved;F(semaphore_is_yellow & table_has_been_moved);['table_has_been_moved', 'semaphore_is_yellow']
sooner or later both a car starts and the manager handles requests;F(car_starts & manager_handles_requests);['car_starts', 'manager_handles_requests']
at some point in time the escalator moves and a car starts;F(car_starts & escalator_moves);['car_starts', 'escalator_moves']
at some point a semaphore is green and the engine starts;F(engine_starts & semaphore_is_green);['engine_starts', 'semaphore_is_green']
in the future both a motorbike has stopped and a train has been launched;F(motorbike_has_stopped & train_has_been_launched);['train_has_been_launched', 'motorbike_has_stopped']
at some point both the engine starts and a motorbike is driven;F(engine_starts & motorbike_is_driven);['motorbike_is_driven', 'engine_starts']
in the future the engine stops or a manager handles requests or a train has arrived;F(engine_stops | manager_handles_requests | train_has_arrived);['manager_handles_requests', 'engine_stops', 'train_has_arrived']
at some point in time either the motorbike has started, the elevator is blocked or the brake is released;F(brake_is_released | elevator_is_blocked | motorbike_has_started);['brake_is_released', 'elevator_is_blocked', 'motorbike_has_started']
eventually, the semaphore is red or the car enters or a house is built;F(car_enters | house_is_built | semaphore_is_red);['semaphore_is_red', 'house_is_built', 'car_enters']
sooner or later a bridge opens or the brake is released or an elevator rises;F(brake_is_released | bridge_opens | elevator_rises);['bridge_opens', 'elevator_rises', 'brake_is_released']
it is going to happen that the train stops or the elevator falls or a semaphore is yellow;F(elevator_falls | semaphore_is_yellow | train_stops);['semaphore_is_yellow', 'elevator_falls', 'train_stops']
it will happen that either the escalator moves, the elevator is open or the house is built;F(elevator_is_open | escalator_moves | house_is_built);['house_is_built', 'escalator_moves', 'elevator_is_open']
at a certain moment the sensor gathers information or a table is old or the bar has to be repaired;F(bar_has_to_be_repaired | sensor_gathers_information | table_is_old);['table_is_old', 'bar_has_to_be_repaired', 'sensor_gathers_information']
it will happen that the engine stops or a car starts or a bridge closes;F(bridge_closes | car_starts | engine_stops);['car_starts', 'bridge_closes', 'engine_stops']
it is going to happen that either the elevator is open, the motorbike falls down or the sensor retrieves data;F(elevator_is_open | motorbike_falls_down | sensor_retrieves_data);['motorbike_falls_down', 'sensor_retrieves_data', 'elevator_is_open']
in the future either the engine breaks, the car stops or the elevator rises;F(car_stops | elevator_rises | engine_breaks);['car_stops', 'elevator_rises', 'engine_breaks']
