source,normalized_LTL_formula,batch_id,count
ConformalNL2LTL,!prop U (prop & F(prop & F(prop & prop))),0,2
ConformalNL2LTL,!prop U (prop & F(prop & F(prop & prop))),1,1
ConformalNL2LTL,!prop U (prop & F(prop & F(prop & prop))),2,1
ConformalNL2LTL,!prop U (prop & F(prop & F(prop & prop))),3,1
ConformalNL2LTL,!prop U (prop & F(prop & F(prop & prop))),4,1
ConformalNL2LTL,!prop U (prop & F(prop & F(prop & prop))),5,1
ConformalNL2LTL,!prop U (prop & F(prop & F(prop & prop))),6,1
ConformalNL2LTL,!prop U (prop & F(prop & F(prop & prop))),7,1
ConformalNL2LTL,!prop U (prop & F(prop & F(prop & prop))),8,1
ConformalNL2LTL,!prop U (prop & prop),0,1
ConformalNL2LTL,!prop U (prop & prop),1,1
ConformalNL2LTL,!prop U (prop & prop),4,1
ConformalNL2LTL,!prop U (prop & prop),5,1
ConformalNL2LTL,!prop U (prop & prop),6,1
ConformalNL2LTL,!prop U (prop & prop),7,1
ConformalNL2LTL,!prop U (prop & prop),8,1
ConformalNL2LTL,!prop U prop,0,4
ConformalNL2LTL,!prop U prop,1,5
ConformalNL2LTL,!prop U prop,2,4
ConformalNL2LTL,!prop U prop,3,4
ConformalNL2LTL,!prop U prop,4,5
ConformalNL2LTL,!prop U prop,5,5
ConformalNL2LTL,!prop U prop,6,5
ConformalNL2LTL,!prop U prop,7,4
ConformalNL2LTL,!prop U prop,8,4
ConformalNL2LTL,(!prop U prop) & F(prop & F(prop & F(prop & prop))),0,3
ConformalNL2LTL,(!prop U prop) & F(prop & F(prop & F(prop & prop))),1,4
ConformalNL2LTL,(!prop U prop) & F(prop & F(prop & F(prop & prop))),2,4
ConformalNL2LTL,(!prop U prop) & F(prop & F(prop & F(prop & prop))),3,4
ConformalNL2LTL,(!prop U prop) & F(prop & F(prop & F(prop & prop))),4,3
ConformalNL2LTL,(!prop U prop) & F(prop & F(prop & F(prop & prop))),5,3
ConformalNL2LTL,(!prop U prop) & F(prop & F(prop & F(prop & prop))),6,3
ConformalNL2LTL,(!prop U prop) & F(prop & F(prop & F(prop & prop))),7,3
ConformalNL2LTL,(!prop U prop) & F(prop & F(prop & F(prop & prop))),8,3
ConformalNL2LTL,(!prop U prop) & F(prop & Gprop),3,1
ConformalNL2LTL,(!prop U prop) & F(prop & Gprop),4,1
ConformalNL2LTL,(!prop U prop) & F(prop & Gprop),5,1
ConformalNL2LTL,(!prop U prop) & F(prop & Gprop),6,1
ConformalNL2LTL,(!prop U prop) & F(prop & Gprop),7,1
ConformalNL2LTL,(!prop U prop) & F(prop & prop),0,3
ConformalNL2LTL,(!prop U prop) & F(prop & prop),1,3
ConformalNL2LTL,(!prop U prop) & F(prop & prop),2,3
ConformalNL2LTL,(!prop U prop) & F(prop & prop),3,3
ConformalNL2LTL,(!prop U prop) & F(prop & prop),4,3
ConformalNL2LTL,(!prop U prop) & F(prop & prop),5,4
ConformalNL2LTL,(!prop U prop) & F(prop & prop),6,3
ConformalNL2LTL,(!prop U prop) & F(prop & prop),7,3
ConformalNL2LTL,(!prop U prop) & F(prop & prop),8,3
ConformalNL2LTL,(!prop U prop) & FGprop,2,1
ConformalNL2LTL,(!prop U prop) & FGprop,3,1
ConformalNL2LTL,(!prop U prop) & FGprop,4,1
ConformalNL2LTL,(!prop U prop) & FGprop,5,1
ConformalNL2LTL,(!prop U prop) & FGprop,6,1
ConformalNL2LTL,(!prop U prop) & FGprop,7,1
ConformalNL2LTL,(!prop U prop) & Fprop,1,1
ConformalNL2LTL,(!prop U prop) & Fprop,4,1
ConformalNL2LTL,(!prop U prop) & Fprop,5,1
ConformalNL2LTL,(!prop U prop) & Fprop,6,1
ConformalNL2LTL,(!prop U prop) & Fprop,7,1
ConformalNL2LTL,(prop U prop) & F(prop & F(prop & F(prop & prop))),0,1
ConformalNL2LTL,(prop U prop) & F(prop & F(prop & F(prop & prop))),1,1
ConformalNL2LTL,(prop U prop) & F(prop & F(prop & F(prop & prop))),2,1
ConformalNL2LTL,(prop U prop) & F(prop & F(prop & F(prop & prop))),3,1
ConformalNL2LTL,(prop U prop) & F(prop & F(prop & F(prop & prop))),4,1
ConformalNL2LTL,(prop U prop) & F(prop & F(prop & F(prop & prop))),5,1
