source;APs;original NL;original LTL;Spot LTL;lifted_LTL
search_and_rescue.jsonl;"['""communicate(injured_victim)""', '""communicate(injured_rescuer)""', '""photo(safe_victim)""']";If every communicate the injured_victim is eventually followed by establishing communication with the injured_rescuer, then photo safe_victim must occur infinitely often.;"G ( ""communicate(injured_victim)"" -> F ""communicate(injured_rescuer)"" ) -> G F ""photo(safe_victim)""";"G(""communicate(injured_victim)"" -> F""communicate(injured_rescuer)"") -> GF""photo(safe_victim)""";G(ap_0 -> Fap_1) -> GFap_2
search_and_rescue.jsonl;"['""avoid(probable_flood)""']";The robot must eventually, avoid staying away from the probable_flood.;"F ( ! ""avoid(probable_flood)"" )";"F!""avoid(probable_flood)""";F!ap_0
search_and_rescue.jsonl;"['get_help', '""avoid(impending_gas_leak)""', '""record(gas_leak)""']";If get_help holds and avoid the impending_gas_leak holds next, then record gas_leak holds in the step after that.;"G ( ""get_help"" & X ""avoid(impending_gas_leak)"" -> X X ""record(gas_leak)"" )";"G((get_help & X""avoid(impending_gas_leak)"") -> XX""record(gas_leak)"")";G((ap_0 & Xap_1) -> XXap_2)
search_and_rescue.jsonl;"['""deliver_aid(safe_victim)""', 'go_home']";Deliver aid to the safe_victim and go_home are mutually exclusive at all times.;"G ! ( ""deliver_aid(safe_victim)"" & ""go_home"" )";"G!(""deliver_aid(safe_victim)"" & go_home)";G!(ap_0 & ap_1)
search_and_rescue.jsonl;"['get_help', '""deliver_aid(injured_victim)""', '""photo(injured_victim)""']";If deliver_aid the injured_victim holds and get_help holds next, then photo injured_victim holds in the step after that.;"G ( ""deliver_aid(injured_victim)"" & X ""get_help"" -> X X ""photo(injured_victim)"" )";"G((""deliver_aid(injured_victim)"" & Xget_help) -> XX""photo(injured_victim)"")";G((ap_1 & Xap_0) -> XXap_2)
search_and_rescue.jsonl;"['""communicate(injured_victim)""', '""avoid(probable_gas_leak)""']";Either avoid the probable_gas_leak happens infinitely often, or communicate the injured_victim happens in the next step.;"G F ""avoid(probable_gas_leak)"" | X ""communicate(injured_victim)""";"GF""avoid(probable_gas_leak)"" | X""communicate(injured_victim)""";GFap_1 | Xap_0
search_and_rescue.jsonl;['get_help'];Call for help holds at all times.;"G ""get_help""";Gget_help;Gap_0
search_and_rescue.jsonl;"['go_home', '""deliver_aid(injured_hostile)""', '""record(unsafe_person)""']";If every go_home is eventually followed by deliver_aid the injured_hostile, then record unsafe_person must occur infinitely often.;"G ( ""go_home"" -> F ""deliver_aid(injured_hostile)"" ) -> G F ""record(unsafe_person)""";"G(go_home -> F""deliver_aid(injured_hostile)"") -> GF""record(unsafe_person)""";G(ap_0 -> Fap_1) -> GFap_2
search_and_rescue.jsonl;"['""record(injured_person)""', '""photo(gas_leak)""']";When record injured_person happens, photo gas_leak must hold now or in the next step.;"G ( ""record(injured_person)"" -> ( ""photo(gas_leak)"" | X ""photo(gas_leak)"" ) )";"G(""record(injured_person)"" -> (""photo(gas_leak)"" | X""photo(gas_leak)""))";G(ap_0 -> (ap_1 | Xap_1))
search_and_rescue.jsonl;"['""photo(injured_civilian)""']";Our agent must eventually, avoid photoing injured_civilian.;"F ( ! ""photo(injured_civilian)"" )";"F!""photo(injured_civilian)""";F!ap_0
search_and_rescue.jsonl;"['""communicate(injured_victim)""', '""communicate(safe_rescuer)""', '""photo(debris)""']";Whenever communicate the safe_rescuer and photo debris are equal, photo debris and communicate the injured_victim are equal as well.;"G ( ( ""communicate(safe_rescuer)"" <-> ""photo(debris)"" ) -> ( ""photo(debris)"" <-> ""communicate(injured_victim)"" ) )";"G((""communicate(safe_rescuer)"" <-> ""photo(debris)"") -> (""communicate(injured_victim)"" <-> ""photo(debris)""))";G((ap_1 <-> ap_2) -> (ap_0 <-> ap_2))
