Index,Requirement,Ground Truth,Response
0,"If get_help ever holds, avoid the impending_gas_leak must have held beforehand.",F get_help -> (!get_help U (avoid_impending_gas_leak & !get_help)),G(get_help -> (F avoid_impending_gas_leak V get_help))
1,"Make sure that (prop_2) is equivalent to (prop_1), and also make sure (prop_3) is always true .",(prop_1 <-> prop_2) & G prop_3,G((prop_1 <-> prop_2) & prop_3)
5,( prop_1 ) and when possible ( prop_2 ),prop_1 & F prop_2,G(prop_1) & GF(prop_2)
6,"Go to store 1, grab bottle 3, and move it to hospital 2.",F(shop_1 & F(p_bottle_3 & F(hospital_2 & pd))),F(shop_1 & F(p_bottle_3 & F(hospital_2)))
7,whenever ( prop_1 ) and whenever ( prop_2 ),F(prop_1 & F prop_2),G(prop_1) & G(prop_2)
14,"Globally , in case that the transition action that ( prop_1 ) occurs , or the event that ( prop_3 ) gets detected , then the following condition holds : for each time instant in the future before the execution ends finally ( prop_2 ) .",G((prop_1 | prop_3) -> GF prop_2),G((prop_1 | prop_3) -> F prop_2)
15,"if whenever gather pear , at any time make_your_way flag",F gather_pear -> F make_your_way_flag,G(gather_pear -> F make_your_way_flag)
16,in the future the brake is pressed and the escalator moves after an elevator falls or the motorbike catches fire,G((elevator_falls | motorbike_catches_fire) -> F(brake_is_pressed & escalator_moves)),F((elevator_falls | motorbike_catches_fire) -> F(brake_is_pressed & escalator_moves))
17,at some time ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),F prop_1 | G prop_2
20,at a certain moment a train has arrived after both the car enters and the train is crossing,G((car_enters & train_is_crossing) -> F train_has_arrived),F(car_enters & train_is_crossing & F train_has_arrived)
22,"when a constructor instantiate objects then after an elevator is open, at some point in time the elevator is blocked afterwards",G(constructor_instantiate_objects -> G(elevator_is_open -> F elevator_is_blocked)),G(constructor_instantiate_objects & F(elevator_is_open & F elevator_is_blocked))
23,at the green_room through the red or blue_room,F((blue_room | red_room) & F green_room),green_room & F(red_room | blue_room)
26,"If ( prop_4 ) then ( prop_1 ) , the above scenario is equivalent to ( prop_2 ) , and also ( prop_3 ) .",prop_3 & (prop_2 <-> (prop_4 -> prop_1)),((prop_4 -> prop_1) & prop_2 & prop_3)
27,"when ( prop_1 ) , whenever ( prop_2 )",prop_1 -> F prop_2,G(prop_1 -> G(prop_2 -> prop_2))
28,at some time stop_by trash can and at any time go_to home,F stop_by_trash_can & F go_to_home,F(stop_by_trash_can) & G(go_to_home)
29,"It would be one case that ( prop_1 ) and ( prop_3 ) are equivalent, and then ( prop_2 ) must be equivalent as well , and vice versa .",prop_2 <-> F(prop_1 <-> prop_3),G((prop_1 <-> prop_3) <-> prop_2)
30,forever ( prop_1 ) and whenever ( prop_2 ),G(prop_1 & F prop_2),G(prop_1) & G(prop_2 -> prop_2)
32,get to the red area by avoiding the green_room,F red_room & G!green_room,F(red_room) & (!green_room U red_room)
33,Pick up traffic_cone_5 from street_4 and subsequently place it in intersection_6,F(street_4 & F(p_traffic_cone_5 & F(intersection_6 & pd))),F(pd & street_4 & p_traffic_cone_5 & F(pd & intersection_6 & p_traffic_cone_5))
35,"Once get_help has occurred, deliver_aid the injured_victim will never occur again.",G(get_help -> XG!deliver_aid_injured_victim),G(get_help -> G(!deliver_aid_injured_victim))
36,"Pick up tin_can_4 from table_4, deliver it to trash_can_5, and avoid going into hallway_2",F(table_4 & F(p_tin_can_4 & F(pd & trash_can_5))) & G!hallway_2,F(p_tin_can_4 & table_4 & F(p_tin_can_4 & trash_can_5)) & G(!hallway_2)
37,never let_go orange and hold pear,hold_pear & G!let_go_orange,G(!(let_go_orange & hold_pear))
40,whenever ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),G(prop_1 | GF prop_2)
41,"when whenever ( prop_1 ) , ( prop_2 )",F prop_1 -> prop_2,G(prop_1 -> prop_2)
44,never drop apple and secure apple,secure_apple & G!drop_apple,G(!drop_apple & secure_apple)
45,"If deliver_aid the injured_victim ever holds, avoid the probable_fire_source must have held beforehand.",F deliver_aid_injured_victim -> (!deliver_aid_injured_victim U (avoid_probable_fire_source & !deliver_aid_injured_victim)),G(deliver_aid_injured_victim -> (avoid_probable_fire_source U deliver_aid_injured_victim))
49,"when a semaphore is red then after the bar has to be repaired, in the future the escalator moves afterwards",G(semaphore_is_red -> G(bar_has_to_be_repaired -> F escalator_moves)),G(semaphore_is_red -> F(bar_has_to_be_repaired -> F(X escalator_moves)))
51,at some point either an elevator falls or a train stops after either the bridge closes or the car starts,G((bridge_closes | car_starts) -> F(elevator_falls | train_stops)),F(elevator_falls | ((bridge_closes | car_starts) U train_stops))
54,"Do not enter office_4 until you have picked up pass_6, and ensure that you eventually at house_5, retrieve pass_6, and subsequently deliver it to office_4",(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd))),(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F office_4))
55,repeatedly go_to waste basket or whenever touch tree,GF go_to_waste_basket | F touch_tree,GF(go_to_waste_basket) | G(touch_tree -> go_to_waste_basket)
56,"If (prop_1) happens and continues until (prop_3), then if (prop_2), make (prop_4) happen .",(prop_1 U prop_3) -> (prop_2 -> prop_4),G((prop_1 & (prop_1 U prop_3)) -> (prop_2 -> F prop_4))
57,( prop_1 ) and don't ( prop_2 ),prop_1 & !F prop_2,prop_1 & !prop_2
59,when possible capture pear until venture_to trash can,F capture_pear U venture_to_trash_can,G(capture_pear U venture_to_trash_can)
61,when possible grasp pear or never drop orange,F grasp_pear | G!drop_orange,G(F grasp_pear | G !drop_orange)
62,"If (prop_2), (prop_1) and (prop_3).",prop_2 -> (prop_1 & prop_3),G(prop_2 -> (prop_1 & prop_3))
63,Ensure that you (prop_1).,F prop_1,G(prop_1)
64,"Photograph fire_source should always hold, with at most a two-step grace period for recovery.",!G!(photo_fire_source & X photo_fire_source),G(photo_fire_source | X photo_fire_source | XX photo_fire_source)
65,"If change light_west green holds and record the collision on south_9th_avenue holds next, then record the vehicle on west_7th_street holds in the step after that.",G((change_light_west_green & X record_collision_south_9th_avenue) -> XX record_vehicle_west_7th_street),(change_light_west_green & X record_collision_south_9th_avenue) -> XX record_vehicle_west_7th_street
66,forever ( prop_1 ) until ( prop_2 ),G(prop_1 U prop_2),G(prop_1) U prop_2
68,Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),(!room_2) U (p_bottle_4 & kitchen_1 & table_4)
70,don't ( prop_1 ) or never ( prop_2 ),!(prop_1 | G!prop_2),G(!prop_1 | G(!prop_2))
71,"when at any time ( prop_1 ) , ( prop_2 )",F prop_1 -> prop_2,G(prop_1 -> prop_2)
73,"As soon as ( prop_2 ) or ( prop_1 ) then all of the following conditions hold : there will exist a certain time instant in the future before the end of the execution finally , at which the event that ( prop_3 ) , before this ( prop_4 ) .",G((prop_1 | prop_2) -> (prop_3 U prop_4)),G((prop_1 | prop_2) -> F(prop_4 U prop_3))
76,at any time ( prop_1 ) or whenever ( prop_2 ),F(prop_1 | F prop_2),F(prop_1) | G(prop_2 -> prop_2)
80,Continuously photo of area_51 while also repeatedly visiting charger_4,GF(area_51 & photo) & GF charger_4,G(photo & area_51) & GF(charger_4)
81,whenever ( prop_1 ) or whenever ( prop_2 ),F(prop_1 | F prop_2),G(prop_1 | prop_2)
82,whenever make_way waste basket or forever hold_on pear,F make_way_waste_basket | G hold_on_pear,G(make_way_waste_basket | G hold_on_pear)
83,"Once get_help has occurred, deliver the scissors to the shelf will never occur again.",G(get_help -> XG!deliver_scissors_shelf),G(get_help -> G(!deliver_scissors_shelf))
86,"first, at a certain moment the car enters or the motorbike has started, and then, at some point in time both the bar is closing and an elevator is blocked",G!(car_enters | motorbike_has_started) | F((car_enters | motorbike_has_started) & F(bar_is_closing & elevator_is_blocked)),F((car_enters | motorbike_has_started) & F(bar_is_closing & elevator_is_blocked))
87,"It should be the case that if ( prop_1 ) is not detected then ( prop_3 ) , and equivalently ( prop_2 ) should be detected .",prop_2 <-> (!prop_1 -> prop_3),G((!prop_1 -> prop_3) <-> prop_2)
89,( prop_1 ) or whenever ( prop_2 ),prop_1 | F prop_2,prop_1 | G(prop_2 -> prop_1)
91,never let_go orange and at any time show_yourself_near house,G!let_go_orange & F show_yourself_near_house,G(!let_go_orange) & G(show_yourself_near_house)
92,"For each time instant in the coming future if ( prop_3 ) then ( prop_2 ) , or else ( prop_1 ) .",prop_1 | G(prop_3 -> prop_2),G((prop_3 -> prop_2) | (!prop_3 -> prop_1))
93,"(prop_2), (prop_3) as you (prop_1).",prop_2 & (prop_3 -> prop_1),G((prop_2 & prop_3) -> prop_1)
97,whenever ( prop_1 ) or forever ( prop_2 ),F(prop_1 | G prop_2),G(prop_1) | G(prop_2)
98,don't ( prop_1 ) or when possible ( prop_2 ),!(F prop_1 | F prop_2),G(!prop_1 | F prop_2)
100,Ensure you continuously transport crate_8 from mall_5 to office_6,GF(mall_5 & F(p_crate_8 & F(office_6 & pd))),G(F(p_crate_8 & mall_5) & F(p_crate_8 & office_6))
103,in any case a manager collect claims or the escalator speeds up after the sensor captures data or the train has been launched,G((sensor_captures_data | train_has_been_launched) -> G(escalator_speeds_up | manager_collect_claims)),manager_collect_claims | (sensor_captures_data & X escalator_speeds_up) | train_has_been_launched
104,"If both (prop_3) and (prop_1) happen, then make sure (prop_2) happens for all future time steps .",(prop_1 & prop_3) -> G prop_2,G((prop_3 & prop_1) -> G prop_2)
106,"If (prop_3) finally happens, then make sure (prop_2) is equivalent to (prop_1) .",F prop_3 -> (prop_1 <-> prop_2),F prop_3 -> G (prop_2 <-> prop_1)
108,If the scenario that ( prop_2 ) or the scenario that ( prop_3 ) is detected then in response ( prop_1 ) .,(prop_2 | prop_3) -> prop_1,G((prop_2 | prop_3) -> F prop_1)
110,"It is required that at some point ( prop_2 ) and ( prop_3 ) are detected and this is equivalent to the scenario in which ( prop_4 ) is detected , and this will happen until ( prop_1 ) is detected .",(prop_4 <-> (prop_2 & prop_3)) U prop_1,(F(prop_2 & prop_3)) <-> (prop_4 U prop_1)
112,"In case that the event that ( prop_3 ) happens and ( prop_2 ) , then the following condition holds : ( prop_1 ) .",G((prop_2 & prop_3) -> F prop_1),G((prop_3 & prop_2) -> prop_1)
113,"at some point in time a car enters or the motorbike falls down and, it will happen that both a table is brown and the house is built afterwards",G!(car_enters | motorbike_falls_down) | F((car_enters | motorbike_falls_down) & F(house_is_built & table_is_brown)),F((car_enters | motorbike_falls_down) & F(table_is_brown & F house_is_built))
116,It is equivalent to have (prop_4) until (prop_2) or to have (prop_3) and (prop_1) .,(prop_1 & prop_3) <-> (prop_4 U prop_2),(prop_4 U prop_2) | (prop_3 & prop_1)
117,never drop orange or take apple,take_apple | G!drop_orange,G(!drop_orange & !take_apple)
119,whenever ( prop_1 ) until at some time ( prop_2 ),F(prop_1 U F prop_2),G(prop_1 U prop_2)
121,forever moving until do not let_go orange,G moving U !let_go_orange,G(moving U !let_go_orange)
122,"If (prop_3) is constantly true, then both (prop_1) and (prop_2) should happen.",G prop_3 -> (prop_1 & prop_2),G(prop_3) -> (F(prop_1) & F(prop_2))
123,"( prop_2 ) should not happen if ( prop_1 ) does happen , and ( prop_3 ) should also be true all the time . ",(prop_2 -> !prop_1) & G prop_3,G(!prop_1 | !prop_2) & G(prop_3)
126,every time an elevator falls and the bar is up then under no circumstances both a train is crossing and the manager collect claims,G((bar_is_up & elevator_falls) -> G!(manager_collect_claims & train_is_crossing)),G((elevator_falls & bar_is_up) -> !(train_is_crossing & manager_collect_claims))
128,"On the way to achieve (prop_4), if (prop_2) occurs, then do (prop_3), but don't (prop_1) no matter what happens.",!prop_1 & prop_4 & (prop_2 -> prop_3),G(!prop_1 & (prop_2 -> prop_3)) & F(prop_4)
130,take_to trash can and take apple,take_apple & take_to_trash_can,F(take_to_trash_can & F(take_apple))
132,"( prop_1 ) keeps happening until the scenario that ( prop_3 ) happens at some point in the future , then ( prop_2 ) should be observed , or else ( prop_4 ) .",prop_4 | ((prop_1 U prop_3) -> prop_2),(prop_1 U (F prop_3)) -> (F prop_2 | prop_4)
133,"If you do not do (prop_3), then (prop_2) should be equivalent to (prop_1) .",!prop_3 -> (prop_1 <-> prop_2),G(!prop_3 -> (prop_2 <-> prop_1))
135,( prop_1 ) and when possible ( prop_2 ),prop_1 & F prop_2,G(prop_1) & GF(prop_2)
136,repeatedly ( prop_1 ) and at some time ( prop_2 ),G(F prop_1 & F prop_2),GF(prop_1) & F(prop_2)
139,If it is the case that the scenario where ( prop_3 ) leads to ( prop_1 ) then it should also leads to ( prop_2 ) .,(prop_3 -> prop_1) -> prop_2,G(prop_3 -> F prop_1) -> G(prop_3 -> F prop_2)
144,"If (prop_1) happens, wait until (prop_2), or else if (prop_4), then (prop_3) .",prop_3 | prop_4 | (prop_1 U prop_2),G(prop_1 -> (!prop_2 U (prop_2 | (prop_4 & F prop_3))))
146,do not ( prop_1 ) or repeatedly ( prop_2 ),!(prop_1 | GF prop_2),!prop_1 | GF prop_2
149,when possible have_possession_of apple or grasp orange,grasp_orange | F have_possession_of_apple,GF(have_possession_of_apple | grasp_orange)
154,whenever go_near flag and at some time pick_up apple,F go_near_flag & F pick_up_apple,G(go_near_flag -> F pick_up_apple)
158,"if both the motorbike falls down and the escalator is blocked then forever, the bar is up or an elevator rises",G((escalator_is_blocked & motorbike_falls_down) -> G(bar_is_up | elevator_rises)),(motorbike_falls_down & escalator_is_blocked) -> G(bar_is_up | elevator_rises)
161,"If (prop_2) and (prop_3) are both true, then this is the same as if (prop_1) implies that (prop_4) is true .",(prop_1 -> prop_4) <-> (prop_2 & prop_3),((prop_2 & prop_3) -> (prop_1 -> prop_4))
162,"Until (prop_2) is false, (prop_3) should be equal to (prop_1) .",(prop_2 <-> prop_3) U !prop_1,(prop_3 <-> prop_1) U !prop_2
163,"after the engine starts or a train is crossing, always, an elevator is blocked and the escalator is blocked",G((engine_starts | train_is_crossing) -> G(elevator_is_blocked & escalator_is_blocked)),F(engine_starts | train_is_crossing) -> G(elevator_is_blocked & escalator_is_blocked)
164,"If ( prop_2 ) , and ( prop_1 ) , then in response without any delay ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3),G((prop_1 & prop_2) -> X prop_3)
167,whenever pass_by waste receptacle can infer that go_visit flag,F pass_by_waste_receptacle -> go_visit_flag,G(pass_by_waste_receptacle -> go_visit_flag)
168,"It is required that at some point ( prop_1 ) , or else ( prop_2 ) or ( prop_3 ) should happen .",prop_2 | prop_3 | F prop_1,F(prop_1 | prop_2 | prop_3)
169,never ( prop_1 ) or whenever ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1) | G(prop_2 -> prop_2)
171,don't let_go orange and approach trash can,approach_trash_can & !let_go_orange,G(!let_go_orange & approach_trash_can)
174,at some time ( prop_1 ) until at any time ( prop_2 ),F(prop_1 U F prop_2),prop_1 U G prop_2
175,whenever ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2),G((prop_1 & prop_2) -> (prop_1 & prop_2))
176,"(prop_2), then (prop_1)",prop_2 U prop_1,F(prop_2 & F prop_1)
177,"Do not let (prop_1) happen, or let either (prop_3) or (prop_2) happen.",!prop_1 | prop_2 | prop_3,G(!prop_1 | (prop_2 | prop_3))
179,"(prop_4) happens and continues until (prop_1), and if (prop_2) then (prop_3) .",(prop_2 -> prop_3) & (prop_4 U prop_1),(prop_4 U prop_1) & G(prop_2 -> prop_3)
180,"Everytime when ( prop_2 ) and ( prop_3 ) , then ( prop_1 ) or without any delay the transition action that ( prop_4 ) should take place .",G((prop_2 & prop_3) -> (prop_1 | prop_4)),G((prop_2 & prop_3) -> (prop_1 | X prop_4))
181,"It is always the case that in case that ( prop_1 ) , and ( prop_2 ) then the following condition is true : in no time ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3),G((prop_1 & prop_2) -> G(!prop_3))
182,"If (prop_1) and (prop_3) , then ( prop_2 ) should not .",(prop_1 & prop_3) -> !prop_2,G((prop_1 & prop_3) -> !prop_2)
183,at some time come home or at any time secure pear,F come_home | F secure_pear,F(come_home) | GF(secure_pear)
184,"( prop_2 ) will not happen is equivalent to ( prop_3 ) , and is equivalent to ( prop_1 ) .",prop_1 <-> (!prop_2 <-> prop_3),(!prop_2 <-> prop_3) & (prop_3 <-> prop_1)
185,"In case that ( prop_3 ) , and the event that ( prop_1 ) happens then the following condition is true : in the future before the end of the execution , consecutively ( prop_2 ) .",G((prop_1 & prop_3) -> G prop_2),G((prop_3 & prop_1) -> F prop_2)
186,"In case that at some point ( prop_3 ) or ( prop_1 ) happens and continues to happen until ( prop_4 ) , and ( prop_2 ) .",prop_2 & ((prop_1 | prop_3) U prop_4),F((prop_3 | prop_1) & ((prop_3 | prop_1) U prop_4) & prop_2)
188,whenever move_past trash can and always touch flag,F move_past_trash_can & G touch_flag,G(move_past_trash_can -> G touch_flag)
189,"For all time, (prop_3) is true, and at the same time, either (prop_2) or (prop_1) is true .",(prop_1 | prop_2) & G prop_3,G(prop_3 & (prop_2 | prop_1))
192,"Globally , when ( prop_2 ) , or the transition action that ( prop_1 ) takes place then the following condition holds : right away ( prop_4 ) , or ( prop_3 ) .",G((prop_1 | prop_2) -> (prop_3 | prop_4)),G((prop_2 | prop_1) -> (X prop_4 | prop_3))
194,when possible ( prop_1 ) until always ( prop_2 ),F(prop_1 U G prop_2),prop_1 U G prop_2
195,at no time either the elevator is open or a manager handles requests after both the bar is closing and a semaphore is green,G((bar_is_closing & semaphore_is_green) -> G!(elevator_is_open | manager_handles_requests)),G !((bar_is_closing & semaphore_is_green) -> F (elevator_is_open | manager_handles_requests))
198,Our agent must Please record injured_rescuer and then photo flood.,record_injured_rescuer U photo_flood,F(record_injured_rescuer & F photo_flood)
203,when possible ( prop_1 ) can infer that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2)
204,"Either ensure that (prop_3) does not happen, or keep (prop_2) happening until (prop_1) occurs.",!prop_3 | (prop_2 U prop_1),G(!prop_3) | (prop_2 U prop_1)
205,"If ( prop_3 ) then ( prop_1 ) , or else ( prop_4 ) or ( prop_2 ) .",prop_2 | prop_4 | (prop_3 -> prop_1),(prop_3 -> prop_1) | (!prop_3 & (prop_4 | prop_2))
206,it will not happen that the bar has to be repaired and the motorbike has stopped,G!(bar_has_to_be_repaired & motorbike_has_stopped),!(bar_has_to_be_repaired & motorbike_has_stopped)
207,"If (prop_3), then do (prop_4), but keep doing it until (prop_2) is the same as (prop_1) .",(prop_3 -> prop_4) U (prop_1 <-> prop_2),G(prop_3 -> (prop_4 U (prop_1 <-> prop_2)))
209,"If (prop_2) leads to (prop_1), then make sure (prop_3) doesn't happen .",(prop_2 -> prop_1) -> !prop_3,(G(prop_2 -> F prop_1)) -> G(!prop_3)
210,always ( prop_1 ) can infer that whenever ( prop_2 ),G prop_1 -> F prop_2,G(prop_1) -> G(prop_2 -> prop_2)
212,when possible ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),prop_1 U prop_2
215,"Always ensure that (prop_3) happens, and (prop_1) happens if and only if (prop_2) happens.",(prop_1 <-> prop_2) & G prop_3,G(prop_3 & (prop_1 <-> prop_2))
216,"Globally , if ( prop_1 ) , or ( prop_2 ) , then the following condition holds : starting without any delay ( prop_3 ) .",G((prop_1 | prop_2) -> prop_3),G((prop_1 | prop_2) -> X prop_3)
217,"If (prop_2) and (prop_3) , then ( prop_1 ) should not .",(prop_2 & prop_3) -> !prop_1,G((prop_2 & prop_3) -> !prop_1)
218,"For each time instant in the coming time units either ( prop_3 ) or ( prop_1 ) should be detected , and also ( prop_2 ) .",prop_2 & G(prop_1 | prop_3),G((prop_3 | prop_1) & prop_2)
