normalized_LTL_formula,count
G((prop & prop) -> prop),3522
G(prop -> (prop & prop)),3166
G((prop | prop) -> prop),2914
G(prop -> (prop | prop)),2122
G(prop -> prop),1982
F(prop | Fprop),1414
F(prop & Fprop),941
F(prop | prop),625
G((prop & prop) -> (prop & prop)),620
prop | Fprop,604
G(prop -> (prop U prop)),490
F(prop & prop),401
G((prop | prop) -> (prop & prop)),390
prop & Fprop,379
G((prop & prop) -> FGprop),376
G((prop & prop) -> (prop | prop)),372
G((prop & prop) -> GFprop),332
G((prop & prop) -> Gprop),284
Fprop -> Fprop,260
prop | prop,254
G((prop | prop) -> (prop | prop)),250
F(prop U Fprop),250
G((prop | prop) -> FGprop),248
G((prop & prop) -> Fprop),226
G((prop | prop) -> GFprop),202
prop & prop,195
G((prop | prop) -> Gprop),190
prop -> Fprop,144
G((prop | prop) -> Fprop),142
prop U Fprop,130
Fprop -> prop,118
G(prop | Fprop),114
prop U prop,111
F(prop | G!prop),111
G((prop & prop) -> (prop U prop)),108
F(prop U prop),108
G(!prop | Fprop),100
prop -> prop,98
G(!prop & Fprop),88
G((prop | prop) -> (prop U prop)),88
Fprop,86
G(prop & Fprop),65
F(prop & G!prop),65
!prop U prop,61
prop -> (prop U prop),60
G(Fprop | Fprop),58
F(prop | GFprop),56
(prop <-> prop) | Fprop,52
F(prop | Gprop),49
prop & (prop -> prop),48
G(!prop | prop),48
!prop & (prop <-> prop),48
prop | G!prop,47
!prop <-> (prop U prop),44
(prop -> prop) & Gprop,44
!prop <-> (prop | prop),42
(prop | prop) & (prop U prop),42
(prop -> prop) | Fprop,42
(prop | prop) & Gprop,41
(prop -> prop) & Fprop,41
!prop | (prop U prop),41
!prop | (prop -> prop),40
(prop -> prop) | Gprop,40
!prop <-> (prop & prop),40
!prop & (prop | prop),40
prop | prop | (prop U prop),40
F(prop & Gprop),38
prop -> (prop & prop),38
(prop & prop) <-> Fprop,37
!prop | (prop & prop),36
G(prop | prop),36
(prop | prop) <-> Gprop,35
G(!prop & prop),35
!prop & (prop -> prop),35
(prop & prop) | Fprop,33
!prop & (prop U prop),33
prop & G!prop,32
Gprop -> (prop & prop),32
!prop | (prop <-> prop),31
(prop & prop) U !prop,31
(prop <-> prop) -> Fprop,30
(prop -> prop) <-> Gprop,30
(prop <-> prop) & Gprop,30
(prop <-> prop) | Gprop,29
prop | prop | (prop <-> prop),29
F(prop & GFprop),29
prop | prop | Gprop,29
prop & prop & Gprop,29
!prop U (prop <-> prop),28
!(prop | Fprop),28
prop | Gprop,28
((prop <-> prop) U prop) -> prop,28
prop & prop & (prop U prop),28
G(prop & prop),28
G((prop & prop) -> !Fprop),28
!prop -> (prop | prop),27
prop | prop | Fprop,27
!(prop & prop) -> prop,26
prop | GFprop,26
(prop & prop) | Gprop,26
prop | prop | (prop -> prop),25
G(Fprop & Fprop),25
(prop -> prop) | (prop & prop),25
(prop & prop) -> Gprop,25
(prop <-> prop) & (prop -> prop),24
(prop <-> prop) & Fprop,24
prop | prop | (prop & prop),24
prop & prop & Fprop,24
prop & prop & (prop -> prop),24
G(prop -> FGprop),24
(prop <-> prop) -> !prop,24
G((prop | prop) -> !Gprop),24
(prop | prop) -> Gprop,24
G(!prop U Fprop),23
(prop -> prop) -> !prop,23
!prop -> (prop U prop),23
(prop <-> prop) -> Gprop,23
(prop & prop) <-> Gprop,22
!(prop <-> prop) -> prop,22
G(prop -> GFprop),22
(prop & prop) <-> (prop U prop),22
Fprop -> (prop | prop),22
(prop <-> prop) U !prop,22
(prop | prop) & Fprop,22
(prop & prop) -> Fprop,22
(prop & (prop <-> prop)) -> prop,22
Fprop -> (prop <-> prop),21
(prop & prop) -> !prop,21
!prop U (prop & prop),21
F(prop | !prop),21
Gprop -> (prop | prop),20
Gprop -> Fprop,20
!prop U (prop | prop),20
F(prop U G!prop),20
!prop <-> (prop -> prop),20
(prop U prop) -> !prop,19
(prop & prop) <-> (prop | prop),19
prop,19
(prop <-> prop) | (prop & prop),19
(prop | prop) U !prop,19
(prop -> prop) <-> (prop & prop),19
prop & (prop U prop),18
G((prop | prop) -> !Fprop),18
F(prop & !prop),18
G(prop -> Fprop),18
prop | prop | prop | prop,18
G!prop -> Fprop,18
(prop -> prop) <-> (prop | prop),18
(prop | prop) <-> Fprop,18
!(prop | prop) -> prop,18
(prop -> prop) U !prop,18
Fprop -> G!prop,17
(prop -> prop) & (prop <-> prop),17
(prop -> prop) -> Fprop,17
Fprop -> (prop & prop),17
!prop -> (prop & prop),17
!prop | prop | prop,17
(prop | prop) <-> (prop & prop),16
(prop | prop) -> !prop,16
(prop -> prop) | (prop U prop),16
Gprop -> (prop <-> prop),16
(prop | prop) & (prop | prop),16
(prop -> prop) <-> Fprop,16
!prop -> (prop -> prop),15
(prop -> prop) -> Gprop,15
(prop -> prop) & (prop U prop),14
Gprop -> (prop -> prop),14
prop <-> ((prop & prop) U prop),14
prop <-> (prop & (prop -> prop)),14
G(prop U Fprop),14
(prop <-> prop) | (prop U prop),14
Gprop,14
(prop U prop) -> (prop -> prop),14
G(prop -> Gprop),14
