source;APs;original NL;original LTL;Spot LTL;lifted_LTL
navi.jsonl;"['""let_go(pear)""', '""venture_to(trash_can)""']";don't let_go pear can infer that venture_to trash can;"! ( ""let_go(pear)"" ) -> ""venture_to(trash_can)""";"!""let_go(pear)"" -> ""venture_to(trash_can)""";!ap_0 -> ap_1
navi.jsonl;"['""move_to(trashcan)""', '""lay_hold_of(apple)""']";move_to trashcan and when possible lay_hold_of apple;"""move_to(trashcan)"" & F ( ""lay_hold_of(apple)"" )";"""move_to(trashcan)"" & F""lay_hold_of(apple)""";ap_0 & Fap_1
navi.jsonl;"['""be_at(house)""', '""go_to(tree)""']";whenever be_at house or whenever go_to tree;"F ( ""be_at(house)"" ) | F ( ""go_to(tree)"" )";"F""be_at(house)"" | F""go_to(tree)""";Fap_0 | Fap_1
navi.jsonl;"['moving', '""drop(orange)""']";always moving or never drop orange;"G ( ""moving"" ) | G ( ! ( ""drop(orange)"" ) )";"Gmoving | G!""drop(orange)""";Gap_0 | G!ap_1
navi.jsonl;"['""reach(tree)""', '""drop(apple)""']";at some time reach tree and never drop apple;"F ( ""reach(tree)"" ) & G ( ! ( ""drop(apple)"" ) )";"F""reach(tree)"" & G!""drop(apple)""";Fap_0 & G!ap_1
navi.jsonl;"['""drop(apple)""', '""venture_towards(house)""']";never drop apple and venture_towards house;"G ( ! ( ""drop(apple)"" ) ) & ""venture_towards(house)""";"""venture_towards(house)"" & G!""drop(apple)""";ap_1 & G!ap_0
navi.jsonl;"['""let_go(pear)""', '""travel_to(apple)""']";travel_to apple and do not let_go pear;"""travel_to(apple)"" & ! ( ""let_go(pear)"" )";"!""let_go(pear)"" & ""travel_to(apple)""";!ap_0 & ap_1
navi.jsonl;"['""approach(trash_can)""', '""spend_time_at(tree)""']";approach trash can or at any time spend_time_at tree;"""approach(trash_can)"" | F ( ""spend_time_at(tree)"" )";"""approach(trash_can)"" | F""spend_time_at(tree)""";ap_0 | Fap_1
navi.jsonl;"['""hold(apple)""', '""procure(apple)""']";procure apple or hold apple;"""procure(apple)"" | ""hold(apple)""";"""hold(apple)"" | ""procure(apple)""";ap_0 | ap_1
navi.jsonl;"['""drop(apple)""', '""going_to(flag)""']";never drop apple or at any time going_to flag;"G ( ! ( ""drop(apple)"" ) ) | F ( ""going_to(flag)"" )";"G!""drop(apple)"" | F""going_to(flag)""";G!ap_0 | Fap_1
navi.jsonl;"['""go_by(flag)""', '""travel_to(house)""']";whenever go_by flag or at some time travel_to house;"F ( ""go_by(flag)"" ) | F ( ""travel_to(house)"" )";"F""go_by(flag)"" | F""travel_to(house)""";Fap_0 | Fap_1
navi.jsonl;"['""move_to(house)""', '""stop_by(flag)""']";move_to house or stop_by flag;"""move_to(house)"" | ""stop_by(flag)""";"""move_to(house)"" | ""stop_by(flag)""";ap_0 | ap_1
navi.jsonl;"['""gather(pear)""', '""drop(pear)""']";when possible gather pear or never drop pear;"F ( ""gather(pear)"" ) | G ( ! ( ""drop(pear)"" ) )";"F""gather(pear)"" | G!""drop(pear)""";Fap_0 | G!ap_1
navi.jsonl;"['""drop(apple)""', '""come(home)""']";whenever come home and never drop apple;"F ( ""come(home)"" ) & G ( ! ( ""drop(apple)"" ) )";"F""come(home)"" & G!""drop(apple)""";Fap_1 & G!ap_0
navi.jsonl;"['""pick_up(fruit)""', '""obtain(pear)""']";pick_up fruit or at some time obtain pear;"""pick_up(fruit)"" | F ( ""obtain(pear)"" )";"""pick_up(fruit)"" | F""obtain(pear)""";ap_0 | Fap_1
navi.jsonl;"['""venture_to(house)""', '""bring(pear)""']";at some time venture_to house and whenever bring pear;"F ( ""venture_to(house)"" ) & F ( ""bring(pear)"" )";"F""venture_to(house)"" & F""bring(pear)""";Fap_0 & Fap_1
navi.jsonl;"['""gather(apple)""', '""approach(flag)""']";when possible approach flag or gather apple;"F ( ""approach(flag)"" ) | ""gather(apple)""";"""gather(apple)"" | F""approach(flag)""";ap_0 | Fap_1
