source;APs;original NL;original LTL;Spot LTL;lifted_LTL
warehouse.jsonl;"['""pickup(sofa)""']";You must eventually, avoid pickuping the sofa.;"F ( ! ""pickup(sofa)"" )";"F!""pickup(sofa)""";F!ap_0
warehouse.jsonl;"['""search(carrot)""']";This controller must always avoid searching the carrot.;"G ( ! ""search(carrot)"" )";"G!""search(carrot)""";G!ap_0
warehouse.jsonl;"['idle', '""deliver(frisbee,shelf)""']";If idle ever holds, deliver the frisbee to the shelf must have held beforehand.;"( F ""idle"" ) -> ( ! ""idle"" U ( ""deliver(frisbee,shelf)"" & ! ""idle"" ) )";"Fidle -> (!idle U (""deliver(frisbee,shelf)"" & !idle))";Fap_0 -> (!ap_0 U (ap_1 & !ap_0))
warehouse.jsonl;"['""deliver(bird,loading_dock)""', '""deliver(mouse,loading_dock)""', '""search(tv_monitor)""']";Whenever deliver the mouse to the loading_dock and deliver the bird to the loading_dock are equal, deliver the bird to the loading_dock and search the tv_monitor are equal as well.;"G ( ( ""deliver(mouse,loading_dock)"" <-> ""deliver(bird,loading_dock)"" ) -> ( ""deliver(bird,loading_dock)"" <-> ""search(tv_monitor)"" ) )";"G((""deliver(bird,loading_dock)"" <-> ""deliver(mouse,loading_dock)"") -> (""deliver(bird,loading_dock)"" <-> ""search(tv_monitor)""))";G((ap_0 <-> ap_1) -> (ap_0 <-> ap_2))
warehouse.jsonl;['idle'];Our agent must always avoid remaining still.;"G ( ! ""idle"" )";G!idle;G!ap_0
warehouse.jsonl;"['""deliver(bus,shelf)""']";Deliver the bus to the shelf should always hold, with at most a two-step grace period for recovery.;"! G ( ! ( ""deliver(bus,shelf)"" & X ""deliver(bus,shelf)"" ) )";"!G!(""deliver(bus,shelf)"" & X""deliver(bus,shelf)"")";!G!(ap_0 & Xap_0)
warehouse.jsonl;['idle'];Our agent must always avoid idle.;"G ( ! ""idle"" )";G!idle;G!ap_0
warehouse.jsonl;"['get_help', '""pickup(keyboard)""']";If pickup the keyboard ever holds, get_help must have held beforehand.;"( F ""pickup(keyboard)"" ) -> ( ! ""pickup(keyboard)"" U ( ""get_help"" & ! ""pickup(keyboard)"" ) )";"F""pickup(keyboard)"" -> (!""pickup(keyboard)"" U (get_help & !""pickup(keyboard)""))";Fap_1 -> (!ap_1 U (ap_0 & !ap_1))
warehouse.jsonl;['get_help', 'idle'];When get_help happens, idle must hold now or in the next step.;"G ( ""get_help"" -> ( ""idle"" | X ""idle"" ) )";G(get_help -> (idle | Xidle));G(ap_0 -> (ap_1 | Xap_1))
warehouse.jsonl;"['get_help', '""search(potted_plant)""', '""pickup(sheep)""']";If search the potted_plant holds and pickup the sheep holds next, then get_help holds in the step after that.;"G ( ""search(potted_plant)"" & X ""pickup(sheep)"" -> X X ""get_help"" )";"G((""search(potted_plant)"" & X""pickup(sheep)"") -> XXget_help)";G((ap_1 & Xap_2) -> XXap_0)
warehouse.jsonl;['get_help', 'idle'];Call for help and idle will each happen at some point.;"F ""get_help"" & F ""idle""";Fget_help & Fidle;Fap_0 & Fap_1
warehouse.jsonl;"['get_help', '""pickup(microwave)""']";The system must always maintain both get_help and pickup the microwave.;"G ( ""get_help"" & ""pickup(microwave)"" )";"G(get_help & ""pickup(microwave)"")";G(ap_0 & ap_1)
warehouse.jsonl;"['""deliver(sandwich,shelf)""', '""search(orange)""']";At every step, deliver the sandwich to the shelf equals the value of search the orange in the next step.;"G ( ""deliver(sandwich,shelf)"" <-> X ""search(orange)"" )";"G(""deliver(sandwich,shelf)"" <-> X""search(orange)"")";G(ap_0 <-> Xap_1)
warehouse.jsonl;"['""search(tennis_racket)""']";Locate the tennis_racket holds at all times.;"G ""search(tennis_racket)""";"G""search(tennis_racket)""";Gap_0
warehouse.jsonl;"['""deliver(dog,loading_dock)""', '""pickup(spoon)""']";When deliver the dog to the loading_dock happens, pickup the spoon must hold now or in the next step.;"G ( ""deliver(dog,loading_dock)"" -> ( ""pickup(spoon)"" | X ""pickup(spoon)"" ) )";"G(""deliver(dog,loading_dock)"" -> (""pickup(spoon)"" | X""pickup(spoon)""))";G(ap_0 -> (ap_1 | Xap_1))
warehouse.jsonl;"['get_help', '""search(boat)""']";Once get_help has occurred, search the boat will never occur again.;"G ( ""get_help"" -> X G ! ""search(boat)"" )";"G(get_help -> XG!""search(boat)"")";G(ap_0 -> XG!ap_1)
warehouse.jsonl;"['""deliver(remote,shelf)""']";From some point onwards, deliver the remote to the shelf never occurs again.;"F G ! ""deliver(remote,shelf)""";"FG!""deliver(remote,shelf)""";FG!ap_0
warehouse.jsonl;"['""deliver(broccoli,loading_dock)""', '""search(train)""']";You must always maintain both search the train and deliver the broccoli to the loading_dock.;"G ( ""search(train)"" & ""deliver(broccoli,loading_dock)"" )";"G(""deliver(broccoli,loading_dock)"" & ""search(train)"")";G(ap_0 & ap_1)
warehouse.jsonl;"['idle', '""pickup(donut)""']";Either idle or pickup the donut happens infinitely often.;"G F ""idle"" | G F ""pickup(donut)""";"GFidle | GF""pickup(donut)""";GFap_0 | GFap_1
warehouse.jsonl;"['""search(baseball_bat)""', '""search(bed)""']";If search the baseball_bat happens infinitely often, then so does search the bed.;"G F ""search(baseball_bat)"" -> G F ""search(bed)""";"GF""search(baseball_bat)"" -> GF""search(bed)""";GFap_0 -> GFap_1
warehouse.jsonl;"['get_help', 'idle', '""deliver(chair,loading_dock)""']";If every get_help is eventually followed by deliver the chair to the loading_dock, then idle must occur infinitely often.;"G ( ""get_help"" -> F ""deliver(chair,loading_dock)"" ) -> G F ""idle""";"G(get_help -> F""deliver(chair,loading_dock)"") -> GFidle";G(ap_0 -> Fap_2) -> GFap_1
warehouse.jsonl;"['idle', '""deliver(knife,loading_dock)""']";Stand by and deliver the knife to the loading_dock never coincide, yet one of them is always true.;"G ( ! ( ""idle"" & ""deliver(knife,loading_dock)"" ) ) & G ( ""idle"" | ""deliver(knife,loading_dock)"" )";"G!(""deliver(knife,loading_dock)"" & idle) & G(""deliver(knife,loading_dock)"" | idle)";G!(ap_1 & ap_0) & G(ap_1 | ap_0)
warehouse.jsonl;"['""pickup(broccoli)""']";The robot must eventually, avoid pickuping the broccoli.;"F ( ! ""pickup(broccoli)"" )";"F!""pickup(broccoli)""";F!ap_0
warehouse.jsonl;"['get_help', '""deliver(pizza,shelf)""']";Every get_help is directly followed by droping off the pizza to the shelf in the next step.;"G ( ""get_help"" -> X ""deliver(pizza,shelf)"" )";"G(get_help -> X""deliver(pizza,shelf)"")";G(ap_0 -> Xap_1)
warehouse.jsonl;"['get_help', '""pickup(cup)""']";Every get_help is directly followed by picking up the cup in the next step.;"G ( ""get_help"" -> X ""pickup(cup)"" )";"G(get_help -> X""pickup(cup)"")";G(ap_0 -> Xap_1)
