source;APs;original NL;original LTL;Spot LTL;lifted_LTL
GLTL.jsonl;['blue_room', 'yellow_room'];only go through rooms that are not yellow to get to the blue_room;"( F ( ""blue_room"" ) & G ( ! ""yellow_room"" ) )";Fblue_room & G!yellow_room;Fap_0 & G!ap_1
GLTL.jsonl;['red_room', 'green_room'];travel to the red_room through the room that isn t green;"( F ( ""red_room"" ) & G ( ! ""green_room"" ) )";Fred_room & G!green_room;Fap_0 & G!ap_1
GLTL.jsonl;['blue_room', 'yellow_room'];at the blue_room but do not enter the yellow_room first;"( F ( ""blue_room"" ) & G ( ! ""yellow_room"" ) )";Fblue_room & G!yellow_room;Fap_0 & G!ap_1
GLTL.jsonl;['blue_room', 'green_room'];at the green_room but do not enter the blue_room first;"( F ( ""green_room"" ) & G ( ! ""blue_room"" ) )";Fgreen_room & G!blue_room;Fap_1 & G!ap_0
GLTL.jsonl;['blue_room', 'yellow_room', 'red_room'];go through the red or the yellow_room to get to the blue_room;"F ( ( ""red_room"" | ""yellow_room"" ) & F ""blue_room"" )";F((red_room | yellow_room) & Fblue_room);F((ap_2 | ap_1) & Fap_0)
GLTL.jsonl;['red_room', 'green_room'];go through the red_room in to the green_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'red_room'];go through the red_room to the blue_room;"F ( ""red_room"" & F ""blue_room"" )";F(red_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['red_room', 'green_room'];at red_room then at green_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'yellow_room', 'green_room'];move to yellow or blue_room them move to green_room;"F ( ( ""blue_room"" | ""yellow_room"" ) & F ""green_room"" )";F((blue_room | yellow_room) & Fgreen_room);F((ap_0 | ap_1) & Fap_2)
GLTL.jsonl;['blue_room', 'red_room', 'green_room'];move through the red or green_room to the blue_room;"F ( ( ""green_room"" | ""red_room"" ) & F ""blue_room"" )";F((green_room | red_room) & Fblue_room);F((ap_2 | ap_1) & Fap_0)
GLTL.jsonl;['yellow_room', 'green_room'];go over towards the yellow_room and up through it to the green rectanglular room;"F ( ""yellow_room"" & F ""green_room"" )";F(yellow_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['red_room', 'green_room'];go through the red_room to reach the green_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['red_room', 'green_room'];at red_room locate yellow object push to the green_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'yellow_room'];at the blue_room through the yellow_room;"F ( ""yellow_room"" & F ""blue_room"" )";F(yellow_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['yellow_room', 'green_room'];at green without going through yellow;"( F ( ""green_room"" ) & G ( ! ""yellow_room"" ) )";Fgreen_room & G!yellow_room;Fap_1 & G!ap_0
GLTL.jsonl;['blue_room', 'red_room'];at blue_room avoiding red;"( F ( ""blue_room"" ) & G ( ! ""red_room"" ) )";Fblue_room & G!red_room;Fap_0 & G!ap_1
GLTL.jsonl;['yellow_room', 'green_room'];going through the red room or the yellow_room straight to the yellow_room avoiding the green_room;"( F ( ""yellow_room"" ) & G ( ! ""green_room"" ) )";Fyellow_room & G!green_room;Fap_0 & G!ap_1
GLTL.jsonl;['yellow_room', 'green_room'];enter the yellow_room without crossing the green one;"( F ( ""yellow_room"" ) & G ( ! ""green_room"" ) )";Fyellow_room & G!green_room;Fap_0 & G!ap_1
GLTL.jsonl;['blue_room', 'yellow_room'];don t go through the blue_room towards the yellow_room;"( F ( ""yellow_room"" ) & G ( ! ""blue_room"" ) )";Fyellow_room & G!blue_room;Fap_1 & G!ap_0
GLTL.jsonl;['blue_room', 'red_room'];enter the door to the blue_room and exit the other door into the red_room;"F ( ""blue_room"" & F ""red_room"" )";F(blue_room & Fred_room);F(ap_0 & Fap_1)
GLTL.jsonl;['red_room', 'green_room'];go from the blue room to the red_room then go from the red_room to the green_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'red_room'];at the red_room without passing through the blue_room;"( F ( ""red_room"" ) & G ( ! ""blue_room"" ) )";Fred_room & G!blue_room;Fap_1 & G!ap_0
GLTL.jsonl;['yellow_room', 'green_room'];go through the yellow_room to get to the green_room;"F ( ""yellow_room"" & F ""green_room"" )";F(yellow_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['yellow_room', 'red_room', 'green_room'];at red_room through green or yellow_room;"F ( ( ""green_room"" | ""yellow_room"" ) & F ""red_room"" )";F((green_room | yellow_room) & Fred_room);F((ap_2 | ap_0) & Fap_1)
GLTL.jsonl;['blue_room', 'red_room', 'green_room'];at the green_room either through the red_room or through the blue_room only;"F ( ( ""red_room"" | ""blue_room"" ) & F ""green_room"" )";F((blue_room | red_room) & Fgreen_room);F((ap_0 | ap_1) & Fap_2)
GLTL.jsonl;['blue_room', 'yellow_room', 'green_room'];move the robot through the yellow or blue small room and then to the large green_room;"F ( ( ""blue_room"" | ""yellow_room"" ) & F ""green_room"" )";F((blue_room | yellow_room) & Fgreen_room);F((ap_0 | ap_1) & Fap_2)
GLTL.jsonl;['red_room', 'green_room'];please at the green_room through the red_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'green_room'];the robot goes through the blue to get to the green;"F ( ""blue_room"" & F ""green_room"" )";F(blue_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'green_room'];go into the green_room by way of the blue_room;"F ( ""blue_room"" & F ""green_room"" )";F(blue_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'green_room'];avoiding the green rectangle travel to the blue area;"( F ( ""blue_room"" ) & G ( ! ""green_room"" ) )";Fblue_room & G!green_room;Fap_0 & G!ap_1
GLTL.jsonl;['yellow_room', 'green_room'];at green area by avoiding yellow area;"( F ( ""green_room"" ) & G ( ! ""yellow_room"" ) )";Fgreen_room & G!yellow_room;Fap_1 & G!ap_0
GLTL.jsonl;['red_room', 'green_room'];at the green_room without using the red_room;"( F ( ""green_room"" ) & G ( ! ""red_room"" ) )";Fgreen_room & G!red_room;Fap_1 & G!ap_0
GLTL.jsonl;['blue_room', 'red_room'];never follow red path to reach blue_room;"( F ( ""blue_room"" ) & G ( ! ""red_room"" ) )";Fblue_room & G!red_room;Fap_0 & G!ap_1
GLTL.jsonl;['yellow_room', 'red_room'];move to red_room move to yellow_room;"F ( ""red_room"" & F ""yellow_room"" )";F(red_room & Fyellow_room);F(ap_1 & Fap_0)
GLTL.jsonl;['red_room', 'green_room'];entering any room that isn t green will lead you to the red_room;"( F ( ""red_room"" ) & G ( ! ""green_room"" ) )";Fred_room & G!green_room;Fap_0 & G!ap_1
GLTL.jsonl;['blue_room', 'green_room'];move to the blue_room move to the green_room;"F ( ""blue_room"" & F ""green_room"" )";F(blue_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'yellow_room'];move to the large blue_room by passing through the small yellow_room;"F ( ""yellow_room"" & F ""blue_room"" )";F(yellow_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['yellow_room', 'green_room'];travel through the yellow_room to go into the green_room;"F ( ""yellow_room"" & F ""green_room"" )";F(yellow_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['red_room', 'green_room'];enter the red_room and then the green_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'red_room'];at the red_room push the chair into the blue_room;"F ( ""red_room"" & F ""blue_room"" )";F(red_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['blue_room', 'yellow_room'];at blue area by avoiding yellow area;"( F ( ""blue_room"" ) & G ( ! ""yellow_room"" ) )";Fblue_room & G!yellow_room;Fap_0 & G!ap_1
GLTL.jsonl;['blue_room', 'red_room'];move to reach the blue place by taking a path which has red colour and white colour in it while avoiding black yellow and red colour;"F ( ""red_room"" & F ""blue_room"" )";F(red_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['blue_room', 'green_room'];go into the green_room while totally avoiding the blue_room;"( F ( ""green_room"" ) & G ( ! ""blue_room"" ) )";Fgreen_room & G!blue_room;Fap_1 & G!ap_0
GLTL.jsonl;['blue_room', 'yellow_room'];go into the yellow_room but do not enter the blue_room;"( F ( ""yellow_room"" ) & G ( ! ""blue_room"" ) )";Fyellow_room & G!blue_room;Fap_1 & G!ap_0
GLTL.jsonl;['yellow_room', 'green_room'];go thru the yellow box to get to the green box;"F ( ""yellow_room"" & F ""green_room"" )";F(yellow_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['red_room', 'green_room'];navigate through red to reach green;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'red_room'];travel through the red_room to the blue rectangular room;"F ( ""red_room"" & F ""blue_room"" )";F(red_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['blue_room', 'yellow_room'];go through the opposite of the yellow_room to reach the blue_room;"( F ( ""blue_room"" ) & G ( ! ""yellow_room"" ) )";Fblue_room & G!yellow_room;Fap_0 & G!ap_1
GLTL.jsonl;['blue_room', 'yellow_room'];at the blue_room then at the yellow_room;"F ( ""blue_room"" & F ""yellow_room"" )";F(blue_room & Fyellow_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'red_room'];don t go through the blue_room towards the red_room;"( F ( ""red_room"" ) & G ( ! ""blue_room"" ) )";Fred_room & G!blue_room;Fap_1 & G!ap_0
GLTL.jsonl;['blue_room', 'green_room'];proceed to green area while avoiding the blue area;"( F ( ""green_room"" ) & G ( ! ""blue_room"" ) )";Fgreen_room & G!blue_room;Fap_1 & G!ap_0
GLTL.jsonl;['blue_room', 'yellow_room', 'red_room'];the robot must move through the red or blue_room to get to the yellow_room;"F ( ( ""red_room"" | ""blue_room"" ) & F ""yellow_room"" )";F((blue_room | red_room) & Fyellow_room);F((ap_0 | ap_2) & Fap_1)
GLTL.jsonl;['blue_room', 'yellow_room'];enter the blue_room by going though the yellow_room;"F ( ""yellow_room"" & F ""blue_room"" )";F(yellow_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['red_room', 'green_room'];make your way to the green_room by going through the red_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['yellow_room', 'red_room'];travel to the red_room through the room that isn t yellow;"( F ( ""red_room"" ) & G ( ! ""yellow_room"" ) )";Fred_room & G!yellow_room;Fap_1 & G!ap_0
GLTL.jsonl;['blue_room', 'green_room'];go into the blue_room and then into the green_room;"F ( ""blue_room"" & F ""green_room"" )";F(blue_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'green_room'];at blue_room at green_room;"F ( ""blue_room"" & F ""green_room"" )";F(blue_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'yellow_room'];go through the yellow and to the blue;"F ( ""yellow_room"" & F ""blue_room"" )";F(yellow_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['red_room', 'green_room'];go through the red_room to enter the green_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'yellow_room'];move to blue_room through the yellow_room;"F ( ""yellow_room"" & F ""blue_room"" )";F(yellow_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['blue_room', 'red_room'];drive through the room that is not red and enter the blue_room;"( F ( ""blue_room"" ) & G ( ! ""red_room"" ) )";Fblue_room & G!red_room;Fap_0 & G!ap_1
GLTL.jsonl;['blue_room', 'green_room'];at green_room before blue_room;"F ( ""green_room"" & F ""blue_room"" )";F(green_room & Fblue_room);F(ap_1 & Fap_0)
GLTL.jsonl;['red_room', 'green_room'];enter the green_room through the red_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['red_room', 'green_room'];move to red_room pick up yellow thing move to green_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['red_room', 'green_room'];travel through the red square room to the large green rectangular room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'red_room'];enter the blue_room without entering a red_room;"( F ( ""blue_room"" ) & G ( ! ""red_room"" ) )";Fblue_room & G!red_room;Fap_0 & G!ap_1
GLTL.jsonl;['red_room', 'green_room'];at the red_room then to the green_room;"F ( ""red_room"" & F ""green_room"" )";F(red_room & Fgreen_room);F(ap_0 & Fap_1)
GLTL.jsonl;['blue_room', 'red_room'];go into the red_room through the blue_room;"F ( ""blue_room"" & F ""red_room"" )";F(blue_room & Fred_room);F(ap_0 & Fap_1)
GLTL.jsonl;['yellow_room', 'red_room'];avoid yellow find red;"( F ( ""red_room"" ) & G ( ! ""yellow_room"" ) )";Fred_room & G!yellow_room;Fap_1 & G!ap_0
