source;APs;original NL;original LTL;Spot LTL;lifted_LTL
traffic_light.jsonl;"['get_help', '""record(jaywalker,south_10th_street)""', '""record(cyclist,north_1st_street)""']";Whenever neither get_help nor record the jaywalker on south_10th_street holds, record the cyclist on north_1st_street eventually holds.;"G ( ! ( ""get_help"" & ""record(jaywalker,south_10th_street)"" ) -> F ""record(cyclist,north_1st_street)"" )";"G(!(get_help & ""record(jaywalker,south_10th_street)"") -> F""record(cyclist,north_1st_street)"")";G(!(ap_0 & ap_1) -> Fap_2)
traffic_light.jsonl;"['""change(light_east,yellow)""']";Change light_east yellow should always hold, with at most a two-step grace period for recovery.;"! G ( ! ( ""change(light_east,yellow)"" & X ""change(light_east,yellow)"" ) )";"!G!(""change(light_east,yellow)"" & X""change(light_east,yellow)"")";!G!(ap_0 & Xap_0)
traffic_light.jsonl;"['get_help', '""photo(motorcycle,southwest_1st_street)""']";Take a picture of the motorcycle on southwest_1st_street and get_help will each happen at some point.;"F ""photo(motorcycle,southwest_1st_street)"" & F ""get_help""";"F""photo(motorcycle,southwest_1st_street)"" & Fget_help";Fap_1 & Fap_0
traffic_light.jsonl;['get_help'];Our agent must eventually, avoid calling for help.;"F ( ! ""get_help"" )";F!get_help;F!ap_0
traffic_light.jsonl;"['get_help', '""photo(person,east_8th_avenue)""']";The system must always maintain both photo the person on east_8th_avenue and get_help.;"G ( ""photo(person,east_8th_avenue)"" & ""get_help"" )";"G(get_help & ""photo(person,east_8th_avenue)"")";G(ap_0 & ap_1)
traffic_light.jsonl;"['""record(car,east_3rd_street)""', '""change(light_west,red)""', '""record(motorcycle,southwest_10th_street)""']";If every record the car on east_3rd_street is eventually followed by changeing light_west red, then record the motorcycle on southwest_10th_street must occur infinitely often.;"G ( ""record(car,east_3rd_street)"" -> F ""change(light_west,red)"" ) -> G F ""record(motorcycle,southwest_10th_street)""";"G(""record(car,east_3rd_street)"" -> F""change(light_west,red)"") -> GF""record(motorcycle,southwest_10th_street)""";G(ap_0 -> Fap_1) -> GFap_2
traffic_light.jsonl;"['""record(pedestrian,northeast_6th_avenue)""']";Record the pedestrian on northeast_6th_avenue holds at all times.;"G ""record(pedestrian,northeast_6th_avenue)""";"G""record(pedestrian,northeast_6th_avenue)""";Gap_0
traffic_light.jsonl;"['""photo(person,southeast_4th_street)""']";Photograph the person on southeast_4th_street holds at all times.;"G ""photo(person,southeast_4th_street)""";"G""photo(person,southeast_4th_street)""";Gap_0
traffic_light.jsonl;"['""change(light_west,yellow)""', '""record(pedestrian,northwest_7th_avenue)""']";Both record the pedestrian on northwest_7th_avenue and change light_west yellow hold at every step.;"G ( ""record(pedestrian,northwest_7th_avenue)"" & ""change(light_west,yellow)"" )";"G(""change(light_west,yellow)"" & ""record(pedestrian,northwest_7th_avenue)"")";G(ap_0 & ap_1)
traffic_light.jsonl;"['""change(light_north,yellow)""']";The robot must eventually, avoid change light_north yellow.;"F ( ! ""change(light_north,yellow)"" )";"F!""change(light_north,yellow)""";F!ap_0
traffic_light.jsonl;"['""change(light_west,yellow)""']";This controller must eventually, avoid change light_west yellow.;"F ( ! ""change(light_west,yellow)"" )";"F!""change(light_west,yellow)""";F!ap_0
traffic_light.jsonl;"['get_help', '""change(light_south,green)""']";Whenever change light_south green holds, get_help holds as well.;"G ( ""change(light_south,green)"" -> ""get_help"" )";"G(""change(light_south,green)"" -> get_help)";G(ap_1 -> ap_0)
traffic_light.jsonl;"['get_help', '""change(light_south,yellow)""', '""change(light_south,red)""']";If every change light_south yellow is eventually followed by requesting assistance, then change light_south red must occur infinitely often.;"G ( ""change(light_south,yellow)"" -> F ""get_help"" ) -> G F ""change(light_south,red)""";"G(""change(light_south,yellow)"" -> Fget_help) -> GF""change(light_south,red)""";G(ap_1 -> Fap_0) -> GFap_2
traffic_light.jsonl;"['get_help', '""photo(person,north_5th_street)""']";Whenever photo the person on north_5th_street holds, get_help holds exactly three steps later.;"G ( ""photo(person,north_5th_street)"" -> X ( X ( X ""get_help"" ) ) )";"G(""photo(person,north_5th_street)"" -> XXXget_help)";G(ap_1 -> XXXap_0)
traffic_light.jsonl;"['get_help', '""change(light_north,yellow)""', '""photo(motorcycle,southeast_9th_street)""']";If every photo the motorcycle on southeast_9th_street is eventually followed by change light_north yellow, then get_help must occur infinitely often.;"G ( ""photo(motorcycle,southeast_9th_street)"" -> F ""change(light_north,yellow)"" ) -> G F ""get_help""";"G(""photo(motorcycle,southeast_9th_street)"" -> F""change(light_north,yellow)"") -> GFget_help";G(ap_2 -> Fap_1) -> GFap_0
traffic_light.jsonl;"['get_help', '""change(light_west,yellow)""', '""photo(car,southwest_5th_street)""']";If change light_west yellow holds, then in the next step photo the car on southwest_5th_street persists until geting help holds, or else photo the car on southwest_5th_street holds forever.;"""change(light_west,yellow)"" -> X ( ( ""photo(car,southwest_5th_street)"" U ""get_help"" ) | G ""photo(car,southwest_5th_street)"" )";"""change(light_west,yellow)"" -> X((""photo(car,southwest_5th_street)"" U get_help) | G""photo(car,southwest_5th_street)"")";ap_1 -> X((ap_2 U ap_0) | Gap_2)
traffic_light.jsonl;"['get_help', '""change(light_east,yellow)""', '""photo(vehicle,north_5th_avenue)""']";Whenever neither get_help nor change light_east yellow holds, photo the vehicle on north_5th_avenue eventually holds.;"G ( ! ( ""get_help"" & ""change(light_east,yellow)"" ) -> F ""photo(vehicle,north_5th_avenue)"" )";"G(!(""change(light_east,yellow)"" & get_help) -> F""photo(vehicle,north_5th_avenue)"")";G(!(ap_1 & ap_0) -> Fap_2)
traffic_light.jsonl;"['""record(car,south_7th_street)""']";This controller must always avoid begining recording the car on south_7th_street.;"G ( ! ""record(car,south_7th_street)"" )";"G!""record(car,south_7th_street)""";G!ap_0
traffic_light.jsonl;"['get_help', '""change(light_east,yellow)""']";Whenever change light_east yellow holds, from the next step onwards get_help will eventually hold.;"G ( ""change(light_east,yellow)"" -> X F ""get_help"" )";"G(""change(light_east,yellow)"" -> XFget_help)";G(ap_1 -> XFap_0)
traffic_light.jsonl;"['get_help', '""change(light_south,green)""', '""photo(collision,south_8th_avenue)""']";Whenever neither photo the collision on south_8th_avenue nor get_help holds, change light_south green eventually holds.;"G ( ! ( ""photo(collision,south_8th_avenue)"" & ""get_help"" ) -> F ""change(light_south,green)"" )";"G(!(get_help & ""photo(collision,south_8th_avenue)"") -> F""change(light_south,green)"")";G(!(ap_0 & ap_2) -> Fap_1)
traffic_light.jsonl;"['""record(person,east_8th_street)""', '""change(light_east,green)""']";Take a video of the person on east_8th_street and change light_east green will each happen at some point.;"F ""record(person,east_8th_street)"" & F ""change(light_east,green)""";"F""record(person,east_8th_street)"" & F""change(light_east,green)""";Fap_0 & Fap_1
traffic_light.jsonl;"['""change(light_south,green)""', '""photo(collision,northeast_6th_street)""']";Switch light_south green can only happen after photoing the collision on northeast_6th_street.;"! ""change(light_south,green)"" U ""photo(collision,northeast_6th_street)""";"!""change(light_south,green)"" U ""photo(collision,northeast_6th_street)""";!ap_0 U ap_1
traffic_light.jsonl;"['""change(light_west,yellow)""', '""record(pedestrian,southeast_3rd_avenue)""']";Update light_west yellow and record the pedestrian on southeast_3rd_avenue never coincide, yet one of them is always true.;"G ( ! ( ""change(light_west,yellow)"" & ""record(pedestrian,southeast_3rd_avenue)"" ) ) & G ( ""change(light_west,yellow)"" | ""record(pedestrian,southeast_3rd_avenue)"" )";"G!(""change(light_west,yellow)"" & ""record(pedestrian,southeast_3rd_avenue)"") & G(""change(light_west,yellow)"" | ""record(pedestrian,southeast_3rd_avenue)"")";G!(ap_0 & ap_1) & G(ap_0 | ap_1)
traffic_light.jsonl;"['get_help', '""record(collision,north_7th_street)""']";If record the collision on north_7th_street ever holds, get_help must have held beforehand.;"( F ""record(collision,north_7th_street)"" ) -> ( ! ""record(collision,north_7th_street)"" U ( ""get_help"" & ! ""record(collision,north_7th_street)"" ) )";"F""record(collision,north_7th_street)"" -> (!""record(collision,north_7th_street)"" U (get_help & !""record(collision,north_7th_street)""))";Fap_1 -> (!ap_1 U (ap_0 & !ap_1))
traffic_light.jsonl;"['get_help', '""photo(pedestrian,southwest_5th_avenue)""', '""record(collision,west_8th_street)""']";If photo the pedestrian on southwest_5th_avenue holds and get_help holds next, then record the collision on west_8th_street holds in the step after that.;"G ( ""photo(pedestrian,southwest_5th_avenue)"" & X ""get_help"" -> X X ""record(collision,west_8th_street)"" )";"G((""photo(pedestrian,southwest_5th_avenue)"" & Xget_help) -> XX""record(collision,west_8th_street)"")";G((ap_1 & Xap_0) -> XXap_2)
