Index,Requirement,Ground Truth,Response
5991,"If photo injured_person ever holds, avoid the impending_gas_leak must have held beforehand.",F photo_injured_person -> (!photo_injured_person U (avoid_impending_gas_leak & !photo_injured_person)),G(photo_injured_person -> (F avoid_impending_gas_leak V photo_injured_person))
5992,"For all time (prop_1) is true, and (prop_3) is equivalent to (prop_2) .",(prop_2 <-> prop_3) & G prop_1,G(prop_1 & (prop_3 <-> prop_2))
5995,never drop pear and put_in bin,put_in_bin & G!drop_pear,G(!(drop_pear & put_in_bin))
5996,( prop_1 ) and when possible ( prop_2 ),prop_1 & F prop_2,prop_1 & GF prop_2
5997,Start by obtaining box 2 from office 4 and make sure it is delivered to house 1 afterward,F(office_4 & F(p_box_2 & F(house_1 & pd))),F(pd & office_4 & p_box_2) & F(F(pd & office_4 & p_box_2) -> F(pd & house_1 & p_box_2))
5998,at some time ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2),F prop_1 & F prop_2
6000,Continuously take pictures of landmark 21 at regular intervals,GF(landmark_21 & photo),G(photo & landmark_21)
6003,"Globally , everytime when ( prop_1 ) then in response ( prop_2 ) or at the same time ( prop_3 ) .",G(prop_1 -> (prop_2 | prop_3)),G(prop_1 -> (F prop_2 | prop_3))
6007,"as a house is built or a sensor captures data, it will happen that a manager handles requests and a table is brown",G((house_is_built | sensor_captures_data) -> F(manager_handles_requests & table_is_brown)),(house_is_built | sensor_captures_data) -> F(manager_handles_requests & table_is_brown)
6008,whenever ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),G(prop_1 | GF prop_2)
6009,Pick up stack_4 from house_4 and at street_2 and stay there,F(house_4 & F(p_stack_4 & F(street_2 & G street_2))),F(p_stack_4 & house_4 & F(street_2 & G street_2))
6014,avoid the yellow_room and enter the green_room through either the red or yellow_room,F((red_room | yellow_room) & F green_room),G(!yellow_room) & F((red_room | yellow_room) & X(green_room))
6018,"if ( prop_1 ) , whenever ( prop_2 )",prop_1 -> F prop_2,G(prop_1 -> G(prop_2 -> prop_2))
6020,"(prop_1) is always true and (prop_2) is true at some point, or (prop_3) should not be true .",!prop_3 | (prop_2 & G prop_1),(G prop_1 & F prop_2) | !prop_3
6021,always ( prop_1 ) and at any time ( prop_2 ),G(prop_1 & F prop_2),G(prop_1) & FG(prop_2)
6022,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(photo & landmark_9))
6023,walk through any room except the green_room to enter the red_room,F red_room & G!green_room,(!green_room) U red_room
6026,"Once record the jaywalker on northwest_5th_street has occurred, photo the cyclist on north_8th_street will never occur again.",G(record_jaywalker_northwest_5th_street -> XG!photo_cyclist_north_8th_street),G(record_jaywalker_northwest_5th_street -> G(!photo_cyclist_north_8th_street))
6028,never drop apple and stop_by flag,stop_by_flag & G!drop_apple,G(!drop_apple & !stop_by_flag)
6030,when possible ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),prop_1 U prop_2
6031,when possible ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),GF(prop_1 | prop_2)
6032,at any time ( prop_1 ) means that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2)
6035,never let_go orange and hold_on_to pear,hold_on_to_pear & G!let_go_orange,G(!let_go_orange & hold_on_to_pear)
6038,"In the case ( prop_1 ) , or ( prop_3 ) then at a certain time point in the future before the execution ends , ( prop_2 ) .",G((prop_1 | prop_3) -> F prop_2),(prop_1 | prop_3) -> F prop_2
6040,"a house is built involves that after a table is brown, eventually, a car starts",G(house_is_built -> G(table_is_brown -> F car_starts)),house_is_built -> G(table_is_brown -> F car_starts)
6042,if a table is brown or the elevator rises then it is going to happen that a car enters or the bar is up,G((elevator_rises | table_is_brown) -> F(bar_is_up | car_enters)),(table_is_brown | elevator_rises) -> F (car_enters | bar_is_up)
6045,"Do not at store_4 until you reach street_6, while ensuring you transport package_8 from office_2 to store_4",(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4))),(!store_4 U street_6) & (F(p_package_8 & office_2 & F(p_package_8 & store_4)))
6047,"First (prop_3) unless (prop_1) happens, then make sure to (prop_2) after you have witnessed (prop_4).",(prop_3 U prop_1) -> (prop_2 -> prop_4),(prop_3 U prop_1) & (F prop_1 -> F (prop_4 U (prop_4 & F prop_2)))
6050,at some time get pear until take pear,F get_pear U take_pear,F(get_pear U take_pear)
6052,whenever visit trash bin or never drop orange,F visit_trash_bin | G!drop_orange,G(visit_trash_bin) | G(!drop_orange)
6053,"If (prop_2), (prop_1) and (prop_3).",prop_2 -> (prop_1 & prop_3),G(prop_2 -> (prop_1 & prop_3))
6054,Please (prop_1),F prop_1,prop_1
6055,"You must avoid the nearest_flood should always hold, with at most a two-step grace period for recovery.",!G!(avoid_nearest_flood & X avoid_nearest_flood),G(avoid_nearest_flood | X avoid_nearest_flood | XX avoid_nearest_flood)
6057,always ( prop_1 ) until ( prop_2 ),G(prop_1 U prop_2),G(prop_1) U prop_2
6059,Do not enter locality 5 until you pick up pass 5 from house 2 and put it in office 3,!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),!locality_5 U (p_pass_5 & house_2 & F(p_pass_5 & office_3))
6060,"For each time instant in the future either if ( prop_2 ) then ( prop_3 ) happens , or else ( prop_1 ) .",prop_1 | G(prop_2 -> prop_3),G((prop_2 -> prop_3) | prop_1)
6062,whenever ( prop_1 ) means that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2)
6064,"It is always the case that while ( prop_1 ) or ( prop_2 ) then there ought to be a certain moment in the future before the end of the simulation , at which ( prop_4 ) , and before that consecutively ( prop_3 ) .",G((prop_1 | prop_2) -> (prop_4 U prop_3)),G((prop_1 | prop_2) -> F(prop_3 & F prop_4))
6065,"Whenever communicate the safe_rescuer and deliver_aid the safe_hostile are equal, deliver_aid the safe_hostile and record injured_victim are equal as well.",G((communicate_safe_rescuer <-> deliver_aid_safe_hostile) -> (deliver_aid_safe_hostile <-> record_injured_victim)),G((communicate_safe_rescuer & deliver_aid_safe_hostile) -> (deliver_aid_safe_hostile & record_injured_victim))
6069,when possible ( prop_1 ) or always ( prop_2 ),F(prop_1 | G prop_2),F(prop_1) | G(prop_2)
6070,Ensure you avoid park 3 while capturing a picture of monument 3,G!park_3 & F(monument_3 & photo),G(!(park_3 & photo & monument_3))
6071,Persistently photograph building_5 while maintaining consistent visits to charger_4,GF(building_5 & photo) & GF charger_4,G(photo & building_5 & charger_4)
6074,"Once idle has occurred, get_help will never occur again.",G(idle -> XG!get_help),F(idle -> G(!get_help))
6075,"Either ensure that (prop_2) in the end happens or, if (prop_3), then make sure that (prop_1) happens .",(prop_3 -> prop_1) | F prop_2,F prop_2 | (prop_3 -> F prop_1)
6077,"first, it will happen that either the escalator speeds up or the bar is closing, and then, finally, both a sensor gathers information and the motorbike catches fire",G!(bar_is_closing | escalator_speeds_up) | F((bar_is_closing | escalator_speeds_up) & F(motorbike_catches_fire & sensor_gathers_information)),F((escalator_speeds_up | bar_is_closing) & F(sensor_gathers_information & motorbike_catches_fire))
6078,"It should be the case that if ( prop_1 ) is not detected then ( prop_2 ) , and equivalently ( prop_3 ) should be detected .",prop_3 <-> (!prop_1 -> prop_2),(!prop_1 -> (prop_2 <-> prop_3))
6081,"Avoid visiting landmark_5 until you reach park_5, and eventually take a photo of landmark_5",(!landmark_5 U park_5) & F(landmark_5 & photo),(!landmark_5 U park_5) & F photo
6083,Avoid picking up both cone_1 and cone_2 indefinitely,G!(p_cone_1 | p_cone_2),G(!(p_cone_1 & p_cone_2))
6084,If ( prop_3 ) then ( prop_2 ) and also ( prop_1 ) .,prop_1 & (prop_3 -> prop_2),prop_3 -> (prop_2 & prop_1)
6086,"In the case the transition action that ( prop_1 ) gets observed or ( prop_3 ) , then the following condition is true : for every time instant in the future until the execution ends there needs to be sometime during the coming 3 to 6 time units , at which ultimately the transition action that ( prop_2 ) should get detected .",G((prop_1 | prop_3) -> GF prop_2),(prop_1 | prop_3) -> G(F prop_2)
6088,at some time ( prop_1 ) or forever ( prop_2 ),F(prop_1 | G prop_2),F prop_1 | G prop_2
6089,don't ( prop_1 ) or at any time ( prop_2 ),!(F prop_1 | F prop_2),!prop_1 | F prop_2
6091,Repeatedly take box_2 from store_4 and deliver it to hall_8,GF(store_4 & F(p_box_2 & F(hall_8 & pd))),GF(p_box_2 & store_4 & F(p_box_2 & hall_8))
