NL;LTL;APs;lifted_lifted;source
Do not go to room 2 before retrieving bottle 4 from kitchen 1 and putting it on table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4)));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Do not go to locality 5 before collecting pass 5 from house 2 and delivering it to office 3;!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd)));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay out of locality 5 until you retrieve pass 5 from house 2 and put it in office 3;!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd)));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Do not enter locality 5 until you pick up pass 5 from house 2 and put it in office 3;!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd)));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Avoid entering room 2 until you take bottle 4 from kitchen 1 and place it on table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4)));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Avoid entering locality 5 until you pick up pass 5 from house 2 and place it in office 3;!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd)));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Do not go to room 2 until you take bottle 4 from kitchen 1, and then put it on table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4)));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Refrain from entering locality 5 until you collect pass 5 from house 2 and deposit it in office 3;!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd)));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4)));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Stay away from room 2 until you collect bottle 4 from kitchen 1 and deliver it to table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4)));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4'];!prop U (prop & F(prop & F(prop & prop)));ConformalNL2LTL
Refrain from entering park 9 until you reach gate 7 and take a picture there;!park_9 U (gate_7 & photo);['photo', 'park_9', 'gate_7'];!prop U (prop & prop);ConformalNL2LTL
Avoid entering park 9 until you visit gate 7 and take a picture;!park_9 U (gate_7 & photo);['photo', 'park_9', 'gate_7'];!prop U (prop & prop);ConformalNL2LTL
Do not enter park 9 until you go to gate 7 and take a picture;!park_9 U (gate_7 & photo);['photo', 'park_9', 'gate_7'];!prop U (prop & prop);ConformalNL2LTL
Stay away from park 9 until you go to gate 7 and ensure you take a photograph;!park_9 U (gate_7 & photo);['photo', 'park_9', 'gate_7'];!prop U (prop & prop);ConformalNL2LTL
Do not enter garage 1 until you take a picture of landmark 5;!garage_1 U (landmark_5 & photo);['photo', 'garage_1', 'landmark_5'];!prop U (prop & prop);ConformalNL2LTL
Do not go to park 9 before arriving at gate 7 and capturing a photo;!park_9 U (gate_7 & photo);['photo', 'park_9', 'gate_7'];!prop U (prop & prop);ConformalNL2LTL
Do not go to street 5 before reaching store 1 and taking package 4 from there.;!street_5 U (p_package_4 & store_1);['p_package_4', 'street_5', 'store_1'];!prop U (prop & prop);ConformalNL2LTL
Avoid going to building 8 until you have reached parking lot 8;!building_8 U parking_lot_8;['building_8', 'parking_lot_8'];!prop U prop;ConformalNL2LTL
Stay away from park 6 until you collect pass 4;!park_6 U p_pass_4;['park_6', 'p_pass_4'];!prop U prop;ConformalNL2LTL
Ensure you stay away from building 8 until parking lot 8 is visited;!building_8 U parking_lot_8;['building_8', 'parking_lot_8'];!prop U prop;ConformalNL2LTL
Do not enter park 6 unless you have already picked up pass 4;!park_6 U p_pass_4;['park_6', 'p_pass_4'];!prop U prop;ConformalNL2LTL
Refrain from entering building 8 unless you have already reached parking lot 8;!building_8 U parking_lot_8;['building_8', 'parking_lot_8'];!prop U prop;ConformalNL2LTL
Do not enter building 8 until you reach parking lot 8;!building_8 U parking_lot_8;['building_8', 'parking_lot_8'];!prop U prop;ConformalNL2LTL
Stay away from parking lot 4 until building 8 is reached;!parking_lot_4 U building_8;['building_8', 'parking_lot_4'];!prop U prop;ConformalNL2LTL
Do not pick up cone 2 until you go to intersection 4;!p_cone_2 U intersection_4;['intersection_4', 'p_cone_2'];!prop U prop;ConformalNL2LTL
Stay away from intersection 4 until you get to street 5;!intersection_4 U street_5;['street_5', 'intersection_4'];!prop U prop;ConformalNL2LTL
Avoid entering building 1 until street 4 has been reached.;!building_1 U street_4;['building_1', 'street_4'];!prop U prop;ConformalNL2LTL
Avoid entering park 5 until you have reached intersection 4;!park_5 U intersection_4;['park_5', 'intersection_4'];!prop U prop;ConformalNL2LTL
Ensure building 1 is avoided until reaching street 4.;!building_1 U street_4;['building_1', 'street_4'];!prop U prop;ConformalNL2LTL
Do not enter building 3 before arriving at street 6, while ensuring you take box 8 from store 3 to house 2;(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd)));['pd', 'street_6', 'house_2', 'building_3', 'store_3', 'p_box_8'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Ensure you stay away from intersection 5 until street 4 is reached, while delivering pass 4 from house 4 to office 1;(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd)));['pd', 'street_4', 'house_4', 'intersection_5', 'p_pass_4', 'office_1'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Do not go to office 4 until you pick pass 6 as you deliver pass 6 from house 5 to office 4;(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd)));['pd', 'office_4', 'house_5', 'p_pass_6'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
Refrain from entering intersection 1 until you reach street 6, and then move cone 3 from street 2 to intersection 1;(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F(intersection_1 & pd)));['pd', 'street_6', 'street_2', 'intersection_1', 'p_cone_3'];(!prop U prop) & F(prop & F(prop & F(prop & prop)));ConformalNL2LTL
