NL;LTL;APs;lifted_lifted;source
at some point a table is old and together the elevator is blocked and the train stops;F(elevator_is_blocked & table_is_old & train_stops);['table_is_old', 'elevator_is_blocked', 'train_stops'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at a certain moment a train has arrived, the manager collect claims and an elevator falls;F(elevator_falls & manager_collect_claims & train_has_arrived);['manager_collect_claims', 'elevator_falls', 'train_has_arrived'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at a certain moment the table is brown and together the escalator speeds up and the bridge opens;F(bridge_opens & escalator_speeds_up & table_is_brown);['escalator_speeds_up', 'table_is_brown', 'bridge_opens'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
sooner or later a car enters and together the motorbike falls down and the semaphore is broken;F(car_enters & motorbike_falls_down & semaphore_is_broken);['motorbike_falls_down', 'car_enters', 'semaphore_is_broken'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
in the future the train is crossing and, at the same time, a manager collect claims and the bar is up;F(bar_is_up & manager_collect_claims & train_is_crossing);['train_is_crossing', 'bar_is_up', 'manager_collect_claims'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
eventually, the brake is pressed, the escalator moves and the engine starts;F(brake_is_pressed & engine_starts & escalator_moves);['brake_is_pressed', 'escalator_moves', 'engine_starts'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
sooner or later the engine stops, the house is built and the sensor gathers information;F(engine_stops & house_is_built & sensor_gathers_information);['house_is_built', 'sensor_gathers_information', 'engine_stops'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at a certain moment an elevator is blocked, a manager collect claims and the brake is pressed;F(brake_is_pressed & elevator_is_blocked & manager_collect_claims);['brake_is_pressed', 'manager_collect_claims', 'elevator_is_blocked'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
sooner or later a semaphore is yellow and, at the same time, the car enters and the brake is released;F(brake_is_released & car_enters & semaphore_is_yellow);['car_enters', 'semaphore_is_yellow', 'brake_is_released'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point in time a motorbike has stopped and together a car starts and the house is built;F(car_starts & house_is_built & motorbike_has_stopped);['car_starts', 'house_is_built', 'motorbike_has_stopped'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
finally, a motorbike is driven, an elevator falls and the engine stops;F(elevator_falls & engine_stops & motorbike_is_driven);['motorbike_is_driven', 'elevator_falls', 'engine_stops'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
finally, the train is crossing, the engine starts and the elevator is blocked;F(elevator_is_blocked & engine_starts & train_is_crossing);['train_is_crossing', 'engine_starts', 'elevator_is_blocked'];F(prop & prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will happen that both the escalator moves and the bar is closing;F(bar_is_closing & escalator_moves);['bar_is_closing', 'escalator_moves'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will happen that the train has arrived and a sensor gathers information;F(sensor_gathers_information & train_has_arrived);['sensor_gathers_information', 'train_has_arrived'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point the escalator moves and the bar is up;F(bar_is_up & escalator_moves);['bar_is_up', 'escalator_moves'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point in time a car stops and the brake is pressed;F(brake_is_pressed & car_stops);['brake_is_pressed', 'car_stops'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
it will happen that both the elevator rises and the motorbike catches fire;F(elevator_rises & motorbike_catches_fire);['motorbike_catches_fire', 'elevator_rises'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
at some point in time a house is open and the car starts;F(car_starts & house_is_open);['house_is_open', 'car_starts'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
in the future the manager collect claims and the brake is released;F(brake_is_released & manager_collect_claims);['manager_collect_claims', 'brake_is_released'];F(prop & prop);NL-to-LTL-Synthetic-Datasetprocessed_data
