NL;LTL;APs;lifted_lifted;source
Deliver the cup to the shelf should always hold, with at most a two-step grace period for recovery.;!G!("deliver(cup,shelf)" & X"deliver(cup,shelf)");['"deliver(cup,shelf)"'];!G!(prop & Xprop);VLTL-Bench_New
Take a photo of the person on northwest_6th_street should always hold, with at most a two-step grace period for recovery.;!G!("photo(person,northwest_6th_street)" & X"photo(person,northwest_6th_street)");['"photo(person,northwest_6th_street)"'];!G!(prop & Xprop);VLTL-Bench_New
Take a picture of injured_rescuer should always hold, with at most a two-step grace period for recovery.;!G!("photo(injured_rescuer)" & X"photo(injured_rescuer)");['"photo(injured_rescuer)"'];!G!(prop & Xprop);VLTL-Bench_New
Record the cyclist on south_6th_avenue should always hold, with at most a two-step grace period for recovery.;!G!("record(cyclist,south_6th_avenue)" & X"record(cyclist,south_6th_avenue)");['"record(cyclist,south_6th_avenue)"'];!G!(prop & Xprop);VLTL-Bench_New
Take a photo of the collision on west_7th_avenue should always hold, with at most a two-step grace period for recovery.;!G!("photo(collision,west_7th_avenue)" & X"photo(collision,west_7th_avenue)");['"photo(collision,west_7th_avenue)"'];!G!(prop & Xprop);VLTL-Bench_New
Look for the giraffe should always hold, with at most a two-step grace period for recovery.;!G!("search(giraffe)" & X"search(giraffe)");['"search(giraffe)"'];!G!(prop & Xprop);VLTL-Bench_New
Take a photo of injured_person should always hold, with at most a two-step grace period for recovery.;!G!("photo(injured_person)" & X"photo(injured_person)");['"photo(injured_person)"'];!G!(prop & Xprop);VLTL-Bench_New
Search for the boat should always hold, with at most a two-step grace period for recovery.;!G!("search(boat)" & X"search(boat)");['"search(boat)"'];!G!(prop & Xprop);VLTL-Bench_New
Photograph the cyclist on southwest_2nd_street should always hold, with at most a two-step grace period for recovery.;!G!("photo(cyclist,southwest_2nd_street)" & X"photo(cyclist,southwest_2nd_street)");['"photo(cyclist,southwest_2nd_street)"'];!G!(prop & Xprop);VLTL-Bench_New
Deliver aid to the injured_rescuer should always hold, with at most a two-step grace period for recovery.;!G!("deliver_aid(injured_rescuer)" & X"deliver_aid(injured_rescuer)");['"deliver_aid(injured_rescuer)"'];!G!(prop & Xprop);VLTL-Bench_New
Take a photo of the person on north_2nd_avenue should always hold, with at most a two-step grace period for recovery.;!G!("photo(person,north_2nd_avenue)" & X"photo(person,north_2nd_avenue)");['"photo(person,north_2nd_avenue)"'];!G!(prop & Xprop);VLTL-Bench_New
Update light_west green should always hold, with at most a two-step grace period for recovery.;!G!("change(light_west,green)" & X"change(light_west,green)");['"change(light_west,green)"'];!G!(prop & Xprop);VLTL-Bench_New
Photograph safe_victim can only happen after avoid the impending_fire_source.;!"photo(safe_victim)" U "avoid(impending_fire_source)";['"photo(safe_victim)"', '"avoid(impending_fire_source)"'];!prop U prop;VLTL-Bench_New
Pick up the sink can only happen after droping off the bed to the loading_dock.;!"pickup(sink)" U "deliver(bed,loading_dock)";['"pickup(sink)"', '"deliver(bed,loading_dock)"'];!prop U prop;VLTL-Bench_New
