Requirement,Ground Truth,Response
{'if the elevator is blocked and the bar is closing then at a certain moment both the brake is pressed and the escalator moves'},G((bar_is_closing & elevator_is_blocked) -> F(brake_is_pressed & escalator_moves)),(elevator_is_blocked & bar_is_closing) -> F(brake_is_pressed & escalator_moves)
{'when possible pass_by waste receptacle and at any time walk_to flag'},"F""pass_by(waste_receptacle)"" & F""walk_to(flag)""","F(""pass_by(waste_receptacle)"") & G(F(""walk_to(flag)""))"
{'keep apple and whenever move_near tree'},"""keep(apple)"" & F""move_near(tree)""","G(""keep(apple)"" & (G(""move_near(tree)"" -> ""keep(apple)"")))"
{'whenever ( prop_1 ) or forever ( prop_2 )'},F(prop_1 | Gprop_2),G(prop_1) | G(prop_2)
{'a train derails involves that always when the brake is pressed then at some point the escalator moves'},G(train_derails -> G(brake_is_pressed -> Fescalator_moves)),train_derails -> G(brake_is_pressed -> F escalator_moves)
"{'if the train has been launched or the train has arrived then never, both a bridge opens and the engine starts'}",G((train_has_arrived | train_has_been_launched) -> G!(bridge_opens & engine_starts)),(train_has_been_launched | train_has_arrived) -> G !(bridge_opens & engine_starts)
{'at the green_room either through the red_room or through the blue_room only'},F((blue_room | red_room) & Fgreen_room),green_room & (red_room | blue_room)
{'when the brake is released then if the house is built then sooner or later the engine starts afterwards'},G(brake_is_released -> G(house_is_built -> Fengine_starts)),G(brake_is_released -> (house_is_built -> F engine_starts))
{'whenever the train is crossing and the manager collect claims then under no circumstances the bar is down or a house is open'},G((manager_collect_claims & train_is_crossing) -> G!(bar_is_down | house_is_open)),G((train_is_crossing & manager_collect_claims) -> ! (bar_is_down | house_is_open))
{'it is going to happen that both the motorbike has started and the bar is down after either the train is crossing or the table is brown'},G((table_is_brown | train_is_crossing) -> F(bar_is_down & motorbike_has_started)),F((train_is_crossing | table_is_brown) -> (motorbike_has_started & bar_is_down))
"{'It is always the case that whenever the transition action that ( prop_2 ) is detected or ( prop_4 ) , then at the same time ( prop_3 ) , and promptly ( prop_1 ) .'}",G((prop_2 | prop_4) -> (prop_1 & prop_3)),G((prop_2 | prop_4) -> (prop_3 & X prop_1))
{'if either the bar is down or the semaphore is yellow then at some point in time a sensor retrieves data or a semaphore is yellow'},G((bar_is_down | semaphore_is_yellow) -> F(semaphore_is_yellow | sensor_retrieves_data)),(bar_is_down | semaphore_is_yellow) -> F (sensor_retrieves_data | semaphore_is_yellow)
{'You must Please change light_east red and then record the jaywalker on southeast_9th_street.'},"""change(light_east,red)"" U ""record(jaywalker,southeast_9th_street)""","F(""change(light_east,red)"") & F(F(""change(light_east,red)"") -> F(""record(jaywalker,southeast_9th_street)""))"
{'Call for help can only happen after change light_west red.'},"!get_help U ""change(light_west,red)""","!(! ""change(light_west,red)"" U get_help)"
"{'after either a train stops or a house is open, at a certain moment either an elevator falls or the motorbike catches fire'}",G((house_is_open | train_stops) -> F(elevator_falls | motorbike_catches_fire)),F((train_stops | house_is_open) & F(elevator_falls | motorbike_catches_fire))
{'at any time ( prop_1 ) or at some time ( prop_2 )'},F(prop_1 | Fprop_2),G(prop_1) | F(prop_2)
{'at some time ( prop_1 ) or whenever ( prop_2 )'},F(prop_1 | Fprop_2),F prop_1 | G prop_2
"{'if both the motorbike has stopped and an elevator rises then eventually, the engine stops and a sensor captures data'}",G((elevator_rises & motorbike_has_stopped) -> F(engine_stops & sensor_captures_data)),(motorbike_has_stopped & elevator_rises) -> F (engine_stops & sensor_captures_data)
{'If ( prop_1 ) is equivalent to ( prop_2 ) or else ( prop_3 ) and also ( prop_4 ) .'},prop_4 & (prop_3 | (prop_1 <-> prop_2)),(prop_1 <-> prop_2) | (prop_3 & prop_4)
"{'as either the elevator rises or the elevator falls, sooner or later the motorbike has started and the bar is up'}",G((elevator_falls | elevator_rises) -> F(bar_is_up & motorbike_has_started)),(elevator_rises | elevator_falls) -> F(motorbike_has_started & bar_is_up)
"{'If the transition action ( prop_2 ) take place or ( prop_1 ), then ( prop_3 ) will occur.'}",G((prop_1 | prop_2) -> prop_3),(prop_2 | prop_1) -> F prop_3
"{'it should not happen that a bridge opens and, at the same time, an elevator is blocked and the engine breaks'}",G!(bridge_opens & elevator_is_blocked & engine_breaks),!(bridge_opens & elevator_is_blocked & engine_breaks)
"{'all the time a train has been launched, a table is old and the motorbike is driven'}",G(motorbike_is_driven & table_is_old & train_has_been_launched),G(train_has_been_launched -> (table_is_old & motorbike_is_driven))
"{""It is always the case that while ( prop_3 ) , and the transition action that ( prop_1 ) does n't get detected then ( prop_2 ) .""}",G((prop_1 & prop_3) -> Gprop_2),G((prop_3 & !prop_1) -> prop_2)
{'always when a table is old or a train is crossing then it will happen that either the table is old or the elevator is blocked'},G((table_is_old | train_is_crossing) -> F(elevator_is_blocked | table_is_old)),G((table_is_old | train_is_crossing) -> (table_is_old | elevator_is_blocked))
"{'eventually, either the train derails or the train has been launched after either a sensor captures data or the house is open'}",G((house_is_open | sensor_captures_data) -> F(train_derails | train_has_been_launched)),F(train_derails | ((sensor_captures_data | house_is_open) -> X train_has_been_launched))
{'the sensor retrieves data involves that whenever an elevator is blocked then at some point an elevator is open'},G(sensor_retrieves_data -> G(elevator_is_blocked -> Felevator_is_open)),sensor_retrieves_data -> G(elevator_is_blocked -> F elevator_is_open)
{'it is going to happen that the brake is pressed and the motorbike catches fire after the table is old and a constructor creates instances'},G((constructor_creates_instances & table_is_old) -> F(brake_is_pressed & motorbike_catches_fire)),F((table_is_old & constructor_creates_instances) -> F(brake_is_pressed & motorbike_catches_fire))
"{'after a train stops or a house is open, at a certain moment either a motorbike is driven or the semaphore is green'}",G((house_is_open | train_stops) -> F(motorbike_is_driven | semaphore_is_green)),F((train_stops | house_is_open) -> F(motorbike_is_driven | semaphore_is_green))
