source;APs;original NL;original LTL;Spot LTL
conformal.jsonl;"['warehouse_3', 'p_crate_4', 'pd', '""st|e_9""', 'charger_3']";Persistently take crate_4 from warehouse_3 to store_9 while consistently visiting charger_3;"globally finally ( ""warehouse_3"" and finally ( ""p_crate_4"" and finally ( ""store_9"" and ""pd"" ) ) ) and globally finally ""charger_3""";"GF(warehouse_3 & F(p_crate_4 & F(pd & ""st|e_9""))) & GFcharger_3"
conformal.jsonl;['area_3'];Stay in area_3;"globally ""area_3""";Garea_3
conformal.jsonl;['park_8'];Find your way to park_8 and stay there permanently;"finally globally ""park_8""";FGpark_8
conformal.jsonl;['photo', 'statue_6', 'park_5'];Go to statue_6, take its photograph, and ensure you continuously stay in park_5;"finally ( ""statue_6"" and ""photo"" ) and globally ""park_5""";F(photo & statue_6) & Gpark_5
conformal.jsonl;['pd', 'bedroom_2', 'p_bottle_3', 'kitchen_4'];Retrieve bottle_3 from bedroom_2 and place it in kitchen_4;"finally ( ""bedroom_2"" and finally ( ""p_bottle_3"" and finally ( ""kitchen_4"" and ""pd"" ) ) )";F(bedroom_2 & F(p_bottle_3 & F(kitchen_4 & pd)))
conformal.jsonl;['building_1', 'street_4'];Ensure building_1 is avoided until reaching street_4.;"not ""building_1"" until ""street_4""";!building_1 U street_4
conformal.jsonl;['house_1'];Ensure you never go into house_1;"globally not ""house_1""";G!house_1
conformal.jsonl;['area_5'];Ensure you always stay in area_5;"globally ""area_5""";Garea_5
conformal.jsonl;['pd', 'house_1', 'locality_7', 'office_4', 'p_letter_1'];Stay within locality_7 at all times while taking letter_1 from office_4 to house_1;"globally ""locality_7"" and finally ( ""office_4"" and finally ( ""p_letter_1"" and finally ( ""house_1"" and ""pd"" ) ) )";Glocality_7 & F(office_4 & F(p_letter_1 & F(house_1 & pd)))
conformal.jsonl;['p_package_4'];Never pickup package_4;"globally not ""p_package_4""";G!p_package_4
conformal.jsonl;"['photo', 'garage_1', '""l&mark_5""']";Avoid entering garage_1 until a photo is taken, and ensure you eventually at landmark_5 and photo there;"not ""garage_1"" until ""photo"" and finally ( ""landmark_5"" and ""photo"" )";"(!garage_1 U photo) & F(""l&mark_5"" & photo)"
conformal.jsonl;['park_5'];Go and reach park_5;"finally ""park_5""";Fpark_5
conformal.jsonl;['table_4'];Ensure you reach table_4 and stay there continuously;"finally globally ""table_4""";FGtable_4
conformal.jsonl;['street_5', 'house_4'];Ensure you at street_5 before heading to house_4;"finally ( ""street_5"" and finally ""house_4"" )";F(street_5 & Fhouse_4)
